:START_ID(Aircraft),:END_ID(System)
AC1020,AC1020-S04
AC1021,AC1021-S01
AC1021,AC1021-S02
AC1021,AC1021-S03
AC1021,AC1021-S04
AC1022,AC1022-S01
AC1022,AC1022-S02
AC1022,AC1022-S03
AC1022,AC1022-S04
AC1023,AC1023-S01
AC1023,AC1023-S02
AC1023,AC1023-S03
AC1023,AC1023-S04
AC1024,AC1024-S01
AC1024,AC1024-S02
AC1024,AC1024-S03
AC1024,AC1024-S04
AC1025,AC1025-S01
AC1025,AC1025-S02
AC1025,AC1025-S03
AC1025,AC1025-S04
AC1026,AC1026-S01
AC1026,AC1026-S02
AC1026,AC1026-S03
AC1026,AC1026-S04
AC1027,AC1027-S01
AC1027,AC1027-S02
AC1027,AC1027-S03
AC1027,AC1027-S04
AC1028,AC1028-S01
AC1028,AC1028-S02
AC1028,AC1028-S03
AC1028,AC1028-S04
AC1029,AC1029-S01
AC1029,AC1029-S02
AC1029,AC1029-S03
AC1029,AC1029-S04
AC1030,AC1030-S01
AC1030,AC1030-S02
AC1030,AC1030-S03
AC1030,AC1030-S04
AC1031,AC1031-S01
AC1031,AC1031-S02
AC1031,AC1031-S03
AC1031,AC1031-S04
AC1032,AC1032-S01
AC1032,AC1032-S02
AC1032,AC1032-S03
AC1032,AC1032-S04
AC1033,AC1033-S01
AC1033,AC1033-S02
AC1033,AC1033-S03
AC1033,AC1033-S04
AC1034,AC1034-S01
AC1034,AC1034-S02
AC1034,AC1034-S03
AC1034,AC1034-S04
AC1035,AC1035-S01
AC1035,AC1035-S02
AC1035,AC1035-S03
AC1035,AC1035-S04
AC1036,AC1036-S01
AC1036,AC1036-S02
AC1036,AC1036-S03
AC1036,AC1036-S04
AC1037,AC1037-S01
AC1037,AC1037-S02
AC1037,AC1037-S03
AC1037,AC1037-S04
AC1038,AC1038-S01
AC1038,AC1038-S02
AC1038,AC1038-S03
AC1038,AC1038-S04
AC1039,AC1039-S01
AC1039,AC1039-S02
AC1039,AC1039-S03
AC1039,AC1039-S04
AC1040,AC1040-S01
AC1040,AC1040-S02
AC1040,AC1040-S03
AC1040,AC1040-S04
AC1041,AC1041-S01
AC1041,AC1041-S02
AC1041,AC1041-S03
AC1041,AC1041-S04
AC1042,AC1042-S01
AC1042,AC1042-S02
AC1042,AC1042-S03
AC1042,AC1042-S04
AC1043,AC1043-S01
AC1043,AC1043-S02
AC1043,AC1043-S03
AC1043,AC1043-S04
AC1044,AC1044-S01
AC1044,AC1044-S02
AC1044,AC1044-S03
AC1044,AC1044-S04
AC1045,AC1045-S01
AC1045,AC1045-S02
AC1045,AC1045-S03
AC1045,AC1045-S04
AC1046,AC1046-S01
AC1046,AC1046-S02
AC1046,AC1046-S03
AC1046,AC1046-S04
AC1047,AC1047-S01
AC1047,AC1047-S02
AC1047,AC1047-S03
AC1047,AC1047-S04
AC1048,AC1048-S01
AC1048,AC1048-S02
AC1048,AC1048-S03
AC1048,AC1048-S04
AC1049,AC1049-S01
AC1049,AC1049-S02
AC1049,AC1049-S03
AC1049,AC1049-S04
AC1050,AC1050-S01
AC1050,AC1050-S02
AC1050,AC1050-S03
AC1050,AC1050-S04
AC1051,AC1051-S01
AC1051,AC1051-S02
AC1051,AC1051-S03
AC1051,AC1051-S04
AC1052,AC1052-S01
AC1052,AC1052-S02
AC1052,AC1052-S03
AC1052,AC1052-S04
AC1053,AC1053-S01
AC1053,AC1053-S02
AC1053,AC1053-S03
AC1053,AC1053-S04
AC1054,AC1054-S01
AC1054,AC1054-S02
AC1054,AC1054-S03
AC1054,AC1054-S04
AC1055,AC1055-S01
AC1055,AC1055-S02
AC1055,AC1055-S03
AC1055,AC1055-S04
AC1056,AC1056-S01
AC1056,AC1056-S02
AC1056,AC1056-S03
AC1056,AC1056-S04
AC1057,AC1057-S01
AC1057,AC1057-S02
AC1057,AC1057-S03
AC1057,AC1057-S04
AC1058,AC1058-S01
AC1058,AC1058-S02
AC1058,AC1058-S03
AC1058,AC1058-S04
AC1059,AC1059-S01
AC1059,AC1059-S02
AC1059,AC1059-S03
AC1059,AC1059-S04
AC1060,AC1060-S01
AC1060,AC1060-S02
AC1060,AC1060-S03
AC1060,AC1060-S04
AC1061,AC1061-S01
AC1061,AC1061-S02
AC1061,AC1061-S03
AC1061,AC1061-S04
AC1062,AC1062-S01
AC1062,AC1062-S02
AC1062,AC1062-S03
AC1062,AC1062-S04
AC1063,AC1063-S01
AC1063,AC1063-S02
AC1063,AC1063-S03
AC1063,AC1063-S04
AC1064,AC1064-S01
AC1064,AC1064-S02
AC1064,AC1064-S03
AC1064,AC1064-S04
AC1065,AC1065-S01
AC1065,AC1065-S02
AC1065,AC1065-S03
AC1065,AC1065-S04
AC1066,AC1066-S01
AC1066,AC1066-S02
AC1066,AC1066-S03
AC1066,AC1066-S04
AC1067,AC1067-S01
AC1067,AC1067-S02
AC1067,AC1067-S03
AC1067,AC1067-S04
AC1068,AC1068-S01
AC1068,AC1068-S02
AC1068,AC1068-S03
AC1068,AC1068-S04
AC1069,AC1069-S01
AC1069,AC1069-S02
AC1069,AC1069-S03
AC1069,AC1069-S04
AC1070,AC1070-S01
AC1070,AC1070-S02
AC1070,AC1070-S03
AC1070,AC1070-S04
AC1071,AC1071-S01
AC1071,AC1071-S02
AC1071,AC1071-S03
AC1071,AC1071-S04
AC1072,AC1072-S01
AC1072,AC1072-S02
AC1072,AC1072-S03
AC1072,AC1072-S04
AC1073,AC1073-S01
AC1073,AC1073-S02
AC1073,AC1073-S03
AC1073,AC1073-S04
AC1074,AC1074-S01
AC1074,AC1074-S02
AC1074,AC1074-S03
AC1074,AC1074-S04
AC1075,AC1075-S01
AC1075,AC1075-S02
AC1075,AC1075-S03
AC1075,AC1075-S04
AC1076,AC1076-S01
AC1076,AC1076-S02
AC1076,AC1076-S03
AC1076,AC1076-S04
AC1077,AC1077-S01
AC1077,AC1077-S02
AC1077,AC1077-S03
AC1077,AC1077-S04
AC1078,AC1078-S01
AC1078,AC1078-S02
AC1078,AC1078-S03
AC1078,AC1078-S04
AC1079,AC1079-S01
AC1079,AC1079-S02
AC1079,AC1079-S03
AC1079,AC1079-S04
AC1080,AC1080-S01
AC1080,AC1080-S02
AC1080,AC1080-S03
AC1080,AC1080-S04
AC1081,AC1081-S01
AC1081,AC1081-S02
AC1081,AC1081-S03
AC1081,AC1081-S04
AC1082,AC1082-S01
AC1082,AC1082-S02
AC1082,AC1082-S03
AC1082,AC1082-S04
AC1083,AC1083-S01
AC1083,AC1083-S02
AC1083,AC1083-S03
AC1083,AC1083-S04
AC1084,AC1084-S01
AC1084,AC1084-S02
AC1084,AC1084-S03
AC1084,AC1084-S04
AC1085,AC1085-S01
AC1085,AC1085-S02
AC1085,AC1085-S03
AC1085,AC1085-S04
AC1086,AC1086-S01
AC1086,AC1086-S02
AC1086,AC1086-S03
AC1086,AC1086-S04
AC1087,AC1087-S01
AC1087,AC1087-S02
AC1087,AC1087-S03
AC1087,AC1087-S04
AC1088,AC1088-S01
AC1088,AC1088-S02
AC1088,AC1088-S03
AC1088,AC1088-S04
AC1089,AC1089-S01
AC1089,AC1089-S02
AC1089,AC1089-S03
AC1089,AC1089-S04
AC1090,AC1090-S01
AC1090,AC1090-S02
AC1090,AC1090-S03
AC1090,AC1090-S04
AC1091,AC1091-S01
AC1091,AC1091-S02
AC1091,AC1091-S03
AC1091,AC1091-S04
AC1092,AC1092-S01
AC1092,AC1092-S02
AC1092,AC1092-S03
AC1092,AC1092-S04
AC1093,AC1093-S01
AC1093,AC1093-S02
AC1093,AC1093-S03
AC1093,AC1093-S04
AC1094,AC1094-S01
AC1094,AC1094-S02
AC1094,AC1094-S03
AC1094,AC1094-S04
AC1095,AC1095-S01
AC1095,AC1095-S02
AC1095,AC1095-S03
AC1095,AC1095-S04
AC1096,AC1096-S01
AC1096,AC1096-S02
AC1096,AC1096-S03
AC1096,AC1096-S04
AC1097,AC1097-S01
AC1097,AC1097-S02
AC1097,AC1097-S03
AC1097,AC1097-S04
AC1098,AC1098-S01
AC1098,AC1098-S02
AC1098,AC1098-S03
AC1098,AC1098-S04
AC1099,AC1099-S01
AC1099,AC1099-S02
AC1099,AC1099-S03
AC1099,AC1099-S04
AC1100,AC1100-S01
AC1100,AC1100-S02
AC1100,AC1100-S03
AC1100,AC1100-S04
