:ID(Component),system_id,type,name
AC1007-S04-C02,AC1007-S04,Filter,Filter
AC1007-S04-C03,AC1007-S04,Reservoir,Reservoir
AC1007-S04-C04,AC1007-S04,Actuator,Actuator
AC1008-S01-C01,AC1008-S01,Turbine,Turbine
AC1008-S01-C02,AC1008-S01,Compressor,Compressor
AC1008-S01-C03,AC1008-S01,Combustor,Combustor
AC1008-S01-C04,AC1008-S01,Nozzle,Nozzle
AC1008-S01-C05,AC1008-S01,Control Unit,Control Unit
AC1008-S02-C01,AC1008-S02,Turbine,Turbine
AC1008-S02-C02,AC1008-S02,Compressor,Compressor
AC1008-S02-C03,AC1008-S02,Combustor,Combustor
AC1008-S02-C04,AC1008-S02,Nozzle,Nozzle
AC1008-S02-C05,AC1008-S02,Control Unit,Control Unit
AC1008-S03-C01,AC1008-S03,Flight Computer,Flight Computer
AC1008-S03-C02,AC1008-S03,Navigation Unit,Navigation Unit
AC1008-S03-C03,AC1008-S03,Communication Unit,Communication Unit
AC1008-S04-C01,AC1008-S04,Pump,Pump
AC1008-S04-C02,AC1008-S04,Filter,Filter
AC1008-S04-C03,AC1008-S04,Reservoir,Reservoir
AC1008-S04-C04,AC1008-S04,Actuator,Actuator
AC1009-S01-C01,AC1009-S01,Turbine,Turbine
AC1009-S01-C02,AC1009-S01,Compressor,Compressor
AC1009-S01-C03,AC1009-S01,Combustor,Combustor
AC1009-S01-C04,AC1009-S01,Nozzle,Nozzle
AC1009-S01-C05,AC1009-S01,Control Unit,Control Unit
AC1009-S02-C01,AC1009-S02,Turbine,Turbine
AC1009-S02-C02,AC1009-S02,Compressor,Compressor
AC1009-S02-C03,AC1009-S02,Combustor,Combustor
AC1009-S02-C04,AC1009-S02,Nozzle,Nozzle
AC1009-S02-C05,AC1009-S02,Control Unit,Control Unit
AC1009-S03-C01,AC1009-S03,Flight Computer,Flight Computer
AC1009-S03-C02,AC1009-S03,Navigation Unit,Navigation Unit
AC1009-S03-C03,AC1009-S03,Communication Unit,Communication Unit
AC1009-S04-C01,AC1009-S04,Pump,Pump
AC1009-S04-C02,AC1009-S04,Filter,Filter
AC1009-S04-C03,AC1009-S04,Reservoir,Reservoir
AC1009-S04-C04,AC1009-S04,Actuator,Actuator
AC1010-S01-C01,AC1010-S01,Turbine,Turbine
AC1010-S01-C02,AC1010-S01,Compressor,Compressor
AC1010-S01-C03,AC1010-S01,Combustor,Combustor
AC1010-S01-C04,AC1010-S01,Nozzle,Nozzle
AC1010-S01-C05,AC1010-S01,Control Unit,Control Unit
AC1010-S02-C01,AC1010-S02,Turbine,Turbine
AC1010-S02-C02,AC1010-S02,Compressor,Compressor
AC1010-S02-C03,AC1010-S02,Combustor,Combustor
AC1010-S02-C04,AC1010-S02,Nozzle,Nozzle
AC1010-S02-C05,AC1010-S02,Control Unit,Control Unit
AC1010-S03-C01,AC1010-S03,Flight Computer,Flight Computer
AC1010-S03-C02,AC1010-S03,Navigation Unit,Navigation Unit
AC1010-S03-C03,AC1010-S03,Communication Unit,Communication Unit
AC1010-S04-C01,AC1010-S04,Pump,Pump
AC1010-S04-C02,AC1010-S04,Filter,Filter
AC1010-S04-C03,AC1010-S04,Reservoir,Reservoir
AC1010-S04-C04,AC1010-S04,Actuator,Actuator
AC1011-S01-C01,AC1011-S01,Turbine,Turbine
AC1011-S01-C02,AC1011-S01,Compressor,Compressor
AC1011-S01-C03,AC1011-S01,Combustor,Combustor
AC1011-S01-C04,AC1011-S01,Nozzle,Nozzle
AC1011-S01-C05,AC1011-S01,Control Unit,Control Unit
AC1011-S02-C01,AC1011-S02,Turbine,Turbine
AC1011-S02-C02,AC1011-S02,Compressor,Compressor
AC1011-S02-C03,AC1011-S02,Combustor,Combustor
AC1011-S02-C04,AC1011-S02,Nozzle,Nozzle
AC1011-S02-C05,AC1011-S02,Control Unit,Control Unit
AC1011-S03-C01,AC1011-S03,Flight Computer,Flight Computer
AC1011-S03-C02,AC1011-S03,Navigation Unit,Navigation Unit
AC1011-S03-C03,AC1011-S03,Communication Unit,Communication Unit
AC1011-S04-C01,AC1011-S04,Pump,Pump
AC1011-S04-C02,AC1011-S04,Filter,Filter
AC1011-S04-C03,AC1011-S04,Reservoir,Reservoir
AC1011-S04-C04,AC1011-S04,Actuator,Actuator
AC1012-S01-C01,AC1012-S01,Turbine,Turbine
AC1012-S01-C02,AC1012-S01,Compressor,Compressor
AC1012-S01-C03,AC1012-S01,Combustor,Combustor
AC1012-S01-C04,AC1012-S01,Nozzle,Nozzle
AC1012-S01-C05,AC1012-S01,Control Unit,Control Unit
AC1012-S02-C01,AC1012-S02,Turbine,Turbine
AC1012-S02-C02,AC1012-S02,Compressor,Compressor
AC1012-S02-C03,AC1012-S02,Combustor,Combustor
AC1012-S02-C04,AC1012-S02,Nozzle,Nozzle
AC1012-S02-C05,AC1012-S02,Control Unit,Control Unit
AC1012-S03-C01,AC1012-S03,Flight Computer,Flight Computer
AC1012-S03-C02,AC1012-S03,Navigation Unit,Navigation Unit
AC1012-S03-C03,AC1012-S03,Communication Unit,Communication Unit
AC1012-S04-C01,AC1012-S04,Pump,Pump
AC1012-S04-C02,AC1012-S04,Filter,Filter
AC1012-S04-C03,AC1012-S04,Reservoir,Reservoir
AC1012-S04-C04,AC1012-S04,Actuator,Actuator
AC1013-S01-C01,AC1013-S01,Turbine,Turbine
AC1013-S01-C02,AC1013-S01,Compressor,Compressor
AC1013-S01-C03,AC1013-S01,Combustor,Combustor
AC1013-S01-C04,AC1013-S01,Nozzle,Nozzle
AC1013-S01-C05,AC1013-S01,Control Unit,Control Unit
AC1013-S02-C01,AC1013-S02,Turbine,Turbine
AC1013-S02-C02,AC1013-S02,Compressor,Compressor
AC1013-S02-C03,AC1013-S02,Combustor,Combustor
AC1013-S02-C04,AC1013-S02,Nozzle,Nozzle
AC1013-S02-C05,AC1013-S02,Control Unit,Control Unit
AC1013-S03-C01,AC1013-S03,Flight Computer,Flight Computer
AC1013-S03-C02,AC1013-S03,Navigation Unit,Navigation Unit
AC1013-S03-C03,AC1013-S03,Communication Unit,Communication Unit
AC1013-S04-C01,AC1013-S04,Pump,Pump
AC1013-S04-C02,AC1013-S04,Filter,Filter
AC1013-S04-C03,AC1013-S04,Reservoir,Reservoir
AC1013-S04-C04,AC1013-S04,Actuator,Actuator
AC1014-S01-C01,AC1014-S01,Turbine,Turbine
AC1014-S01-C02,AC1014-S01,Compressor,Compressor
AC1014-S01-C03,AC1014-S01,Combustor,Combustor
AC1014-S01-C04,AC1014-S01,Nozzle,Nozzle
AC1014-S01-C05,AC1014-S01,Control Unit,Control Unit
AC1014-S02-C01,AC1014-S02,Turbine,Turbine
AC1014-S02-C02,AC1014-S02,Compressor,Compressor
AC1014-S02-C03,AC1014-S02,Combustor,Combustor
AC1014-S02-C04,AC1014-S02,Nozzle,Nozzle
AC1014-S02-C05,AC1014-S02,Control Unit,Control Unit
AC1014-S03-C01,AC1014-S03,Flight Computer,Flight Computer
AC1014-S03-C02,AC1014-S03,Navigation Unit,Navigation Unit
AC1014-S03-C03,AC1014-S03,Communication Unit,Communication Unit
AC1014-S04-C01,AC1014-S04,Pump,Pump
AC1014-S04-C02,AC1014-S04,Filter,Filter
AC1014-S04-C03,AC1014-S04,Reservoir,Reservoir
AC1014-S04-C04,AC1014-S04,Actuator,Actuator
AC1015-S01-C01,AC1015-S01,Turbine,Turbine
AC1015-S01-C02,AC1015-S01,Compressor,Compressor
AC1015-S01-C03,AC1015-S01,Combustor,Combustor
AC1015-S01-C04,AC1015-S01,Nozzle,Nozzle
AC1015-S01-C05,AC1015-S01,Control Unit,Control Unit
AC1015-S02-C01,AC1015-S02,Turbine,Turbine
AC1015-S02-C02,AC1015-S02,Compressor,Compressor
AC1015-S02-C03,AC1015-S02,Combustor,Combustor
AC1015-S02-C04,AC1015-S02,Nozzle,Nozzle
AC1015-S02-C05,AC1015-S02,Control Unit,Control Unit
AC1015-S03-C01,AC1015-S03,Flight Computer,Flight Computer
AC1015-S03-C02,AC1015-S03,Navigation Unit,Navigation Unit
AC1015-S03-C03,AC1015-S03,Communication Unit,Communication Unit
AC1015-S04-C01,AC1015-S04,Pump,Pump
AC1015-S04-C02,AC1015-S04,Filter,Filter
AC1015-S04-C03,AC1015-S04,Reservoir,Reservoir
AC1015-S04-C04,AC1015-S04,Actuator,Actuator
AC1016-S01-C01,AC1016-S01,Turbine,Turbine
AC1016-S01-C02,AC1016-S01,Compressor,Compressor
AC1016-S01-C03,AC1016-S01,Combustor,Combustor
AC1016-S01-C04,AC1016-S01,Nozzle,Nozzle
AC1016-S01-C05,AC1016-S01,Control Unit,Control Unit
AC1016-S02-C01,AC1016-S02,Turbine,Turbine
AC1016-S02-C02,AC1016-S02,Compressor,Compressor
AC1016-S02-C03,AC1016-S02,Combustor,Combustor
AC1016-S02-C04,AC1016-S02,Nozzle,Nozzle
AC1016-S02-C05,AC1016-S02,Control Unit,Control Unit
AC1016-S03-C01,AC1016-S03,Flight Computer,Flight Computer
AC1016-S03-C02,AC1016-S03,Navigation Unit,Navigation Unit
AC1016-S03-C03,AC1016-S03,Communication Unit,Communication Unit
AC1016-S04-C01,AC1016-S04,Pump,Pump
AC1016-S04-C02,AC1016-S04,Filter,Filter
AC1016-S04-C03,AC1016-S04,Reservoir,Reservoir
AC1016-S04-C04,AC1016-S04,Actuator,Actuator
AC1017-S01-C01,AC1017-S01,Turbine,Turbine
AC1017-S01-C02,AC1017-S01,Compressor,Compressor
AC1017-S01-C03,AC1017-S01,Combustor,Combustor
AC1017-S01-C04,AC1017-S01,Nozzle,Nozzle
AC1017-S01-C05,AC1017-S01,Control Unit,Control Unit
AC1017-S02-C01,AC1017-S02,Turbine,Turbine
AC1017-S02-C02,AC1017-S02,Compressor,Compressor
AC1017-S02-C03,AC1017-S02,Combustor,Combustor
AC1017-S02-C04,AC1017-S02,Nozzle,Nozzle
AC1017-S02-C05,AC1017-S02,Control Unit,Control Unit
AC1017-S03-C01,AC1017-S03,Flight Computer,Flight Computer
AC1017-S03-C02,AC1017-S03,Navigation Unit,Navigation Unit
AC1017-S03-C03,AC1017-S03,Communication Unit,Communication Unit
AC1017-S04-C01,AC1017-S04,Pump,Pump
AC1017-S04-C02,AC1017-S04,Filter,Filter
AC1017-S04-C03,AC1017-S04,Reservoir,Reservoir
AC1017-S04-C04,AC1017-S04,Actuator,Actuator
AC1018-S01-C01,AC1018-S01,Turbine,Turbine
AC1018-S01-C02,AC1018-S01,Compressor,Compressor
AC1018-S01-C03,AC1018-S01,Combustor,Combustor
AC1018-S01-C04,AC1018-S01,Nozzle,Nozzle
AC1018-S01-C05,AC1018-S01,Control Unit,Control Unit
AC1018-S02-C01,AC1018-S02,Turbine,Turbine
AC1018-S02-C02,AC1018-S02,Compressor,Compressor
AC1018-S02-C03,AC1018-S02,Combustor,Combustor
AC1018-S02-C04,AC1018-S02,Nozzle,Nozzle
AC1018-S02-C05,AC1018-S02,Control Unit,Control Unit
AC1018-S03-C01,AC1018-S03,Flight Computer,Flight Computer
AC1018-S03-C02,AC1018-S03,Navigation Unit,Navigation Unit
AC1018-S03-C03,AC1018-S03,Communication Unit,Communication Unit
AC1018-S04-C01,AC1018-S04,Pump,Pump
AC1018-S04-C02,AC1018-S04,Filter,Filter
AC1018-S04-C03,AC1018-S04,Reservoir,Reservoir
AC1018-S04-C04,AC1018-S04,Actuator,Actuator
AC1019-S01-C01,AC1019-S01,Turbine,Turbine
AC1019-S01-C02,AC1019-S01,Compressor,Compressor
AC1019-S01-C03,AC1019-S01,Combustor,Combustor
AC1019-S01-C04,AC1019-S01,Nozzle,Nozzle
AC1019-S01-C05,AC1019-S01,Control Unit,Control Unit
AC1019-S02-C01,AC1019-S02,Turbine,Turbine
AC1019-S02-C02,AC1019-S02,Compressor,Compressor
AC1019-S02-C03,AC1019-S02,Combustor,Combustor
AC1019-S02-C04,AC1019-S02,Nozzle,Nozzle
AC1019-S02-C05,AC1019-S02,Control Unit,Control Unit
AC1019-S03-C01,AC1019-S03,Flight Computer,Flight Computer
AC1019-S03-C02,AC1019-S03,Navigation Unit,Navigation Unit
AC1019-S03-C03,AC1019-S03,Communication Unit,Communication Unit
AC1019-S04-C01,AC1019-S04,Pump,Pump
AC1019-S04-C02,AC1019-S04,Filter,Filter
AC1019-S04-C03,AC1019-S04,Reservoir,Reservoir
AC1019-S04-C04,AC1019-S04,Actuator,Actuator
AC1020-S01-C01,AC1020-S01,Turbine,Turbine
AC1020-S01-C02,AC1020-S01,Compressor,Compressor
AC1020-S01-C03,AC1020-S01,Combustor,Combustor
AC1020-S01-C04,AC1020-S01,Nozzle,Nozzle
AC1020-S01-C05,AC1020-S01,Control Unit,Control Unit
AC1020-S02-C01,AC1020-S02,Turbine,Turbine
AC1020-S02-C02,AC1020-S02,Compressor,Compressor
AC1020-S02-C03,AC1020-S02,Combustor,Combustor
AC1020-S02-C04,AC1020-S02,Nozzle,Nozzle
AC1020-S02-C05,AC1020-S02,Control Unit,Control Unit
AC1020-S03-C01,AC1020-S03,Flight Computer,Flight Computer
AC1020-S03-C02,AC1020-S03,Navigation Unit,Navigation Unit
AC1020-S03-C03,AC1020-S03,Communication Unit,Communication Unit
AC1020-S04-C01,AC1020-S04,Pump,Pump
AC1020-S04-C02,AC1020-S04,Filter,Filter
AC1020-S04-C03,AC1020-S04,Reservoir,Reservoir
AC1020-S04-C04,AC1020-S04,Actuator,Actuator
AC1021-S01-C01,AC1021-S01,Turbine,Turbine
AC1021-S01-C02,AC1021-S01,Compressor,Compressor
AC1021-S01-C03,AC1021-S01,Combustor,Combustor
AC1021-S01-C04,AC1021-S01,Nozzle,Nozzle
AC1021-S01-C05,AC1021-S01,Control Unit,Control Unit
AC1021-S02-C01,AC1021-S02,Turbine,Turbine
AC1021-S02-C02,AC1021-S02,Compressor,Compressor
AC1021-S02-C03,AC1021-S02,Combustor,Combustor
AC1021-S02-C04,AC1021-S02,Nozzle,Nozzle
AC1021-S02-C05,AC1021-S02,Control Unit,Control Unit
AC1021-S03-C01,AC1021-S03,Flight Computer,Flight Computer
AC1021-S03-C02,AC1021-S03,Navigation Unit,Navigation Unit
AC1021-S03-C03,AC1021-S03,Communication Unit,Communication Unit
AC1021-S04-C01,AC1021-S04,Pump,Pump
AC1021-S04-C02,AC1021-S04,Filter,Filter
AC1021-S04-C03,AC1021-S04,Reservoir,Reservoir
AC1021-S04-C04,AC1021-S04,Actuator,Actuator
AC1022-S01-C01,AC1022-S01,Turbine,Turbine
AC1022-S01-C02,AC1022-S01,Compressor,Compressor
AC1022-S01-C03,AC1022-S01,Combustor,Combustor
AC1022-S01-C04,AC1022-S01,Nozzle,Nozzle
AC1022-S01-C05,AC1022-S01,Control Unit,Control Unit
AC1022-S02-C01,AC1022-S02,Turbine,Turbine
AC1022-S02-C02,AC1022-S02,Compressor,Compressor
AC1022-S02-C03,AC1022-S02,Combustor,Combustor
AC1022-S02-C04,AC1022-S02,Nozzle,Nozzle
AC1022-S02-C05,AC1022-S02,Control Unit,Control Unit
AC1022-S03-C01,AC1022-S03,Flight Computer,Flight Computer
AC1022-S03-C02,AC1022-S03,Navigation Unit,Navigation Unit
AC1022-S03-C03,AC1022-S03,Communication Unit,Communication Unit
AC1022-S04-C01,AC1022-S04,Pump,Pump
AC1022-S04-C02,AC1022-S04,Filter,Filter
AC1022-S04-C03,AC1022-S04,Reservoir,Reservoir
AC1022-S04-C04,AC1022-S04,Actuator,Actuator
AC1023-S01-C01,AC1023-S01,Turbine,Turbine
AC1023-S01-C02,AC1023-S01,Compressor,Compressor
AC1023-S01-C03,AC1023-S01,Combustor,Combustor
AC1023-S01-C04,AC1023-S01,Nozzle,Nozzle
AC1023-S01-C05,AC1023-S01,Control Unit,Control Unit
AC1023-S02-C01,AC1023-S02,Turbine,Turbine
AC1023-S02-C02,AC1023-S02,Compressor,Compressor
AC1023-S02-C03,AC1023-S02,Combustor,Combustor
AC1023-S02-C04,AC1023-S02,Nozzle,Nozzle
AC1023-S02-C05,AC1023-S02,Control Unit,Control Unit
AC1023-S03-C01,AC1023-S03,Flight Computer,Flight Computer
AC1023-S03-C02,AC1023-S03,Navigation Unit,Navigation Unit
AC1023-S03-C03,AC1023-S03,Communication Unit,Communication Unit
AC1023-S04-C01,AC1023-S04,Pump,Pump
AC1023-S04-C02,AC1023-S04,Filter,Filter
AC1023-S04-C03,AC1023-S04,Reservoir,Reservoir
AC1023-S04-C04,AC1023-S04,Actuator,Actuator
AC1024-S01-C01,AC1024-S01,Turbine,Turbine
AC1024-S01-C02,AC1024-S01,Compressor,Compressor
AC1024-S01-C03,AC1024-S01,Combustor,Combustor
AC1024-S01-C04,AC1024-S01,Nozzle,Nozzle
AC1024-S01-C05,AC1024-S01,Control Unit,Control Unit
AC1024-S02-C01,AC1024-S02,Turbine,Turbine
AC1024-S02-C02,AC1024-S02,Compressor,Compressor
AC1024-S02-C03,AC1024-S02,Combustor,Combustor
AC1024-S02-C04,AC1024-S02,Nozzle,Nozzle
AC1024-S02-C05,AC1024-S02,Control Unit,Control Unit
AC1024-S03-C01,AC1024-S03,Flight Computer,Flight Computer
AC1024-S03-C02,AC1024-S03,Navigation Unit,Navigation Unit
AC1024-S03-C03,AC1024-S03,Communication Unit,Communication Unit
AC1024-S04-C01,AC1024-S04,Pump,Pump
AC1024-S04-C02,AC1024-S04,Filter,Filter
AC1024-S04-C03,AC1024-S04,Reservoir,Reservoir
AC1024-S04-C04,AC1024-S04,Actuator,Actuator
AC1025-S01-C01,AC1025-S01,Turbine,Turbine
AC1025-S01-C02,AC1025-S01,Compressor,Compressor
AC1025-S01-C03,AC1025-S01,Combustor,Combustor
AC1025-S01-C04,AC1025-S01,Nozzle,Nozzle
AC1025-S01-C05,AC1025-S01,Control Unit,Control Unit
AC1025-S02-C01,AC1025-S02,Turbine,Turbine
AC1025-S02-C02,AC1025-S02,Compressor,Compressor
AC1025-S02-C03,AC1025-S02,Combustor,Combustor
AC1025-S02-C04,AC1025-S02,Nozzle,Nozzle
AC1025-S02-C05,AC1025-S02,Control Unit,Control Unit
AC1025-S03-C01,AC1025-S03,Flight Computer,Flight Computer
AC1025-S03-C02,AC1025-S03,Navigation Unit,Navigation Unit
AC1025-S03-C03,AC1025-S03,Communication Unit,Communication Unit
AC1025-S04-C01,AC1025-S04,Pump,Pump
AC1025-S04-C02,AC1025-S04,Filter,Filter
AC1025-S04-C03,AC1025-S04,Reservoir,Reservoir
AC1025-S04-C04,AC1025-S04,Actuator,Actuator
AC1026-S01-C01,AC1026-S01,Turbine,Turbine
AC1026-S01-C02,AC1026-S01,Compressor,Compressor
AC1026-S01-C03,AC1026-S01,Combustor,Combustor
AC1026-S01-C04,AC1026-S01,Nozzle,Nozzle
AC1026-S01-C05,AC1026-S01,Control Unit,Control Unit
AC1026-S02-C01,AC1026-S02,Turbine,Turbine
AC1026-S02-C02,AC1026-S02,Compressor,Compressor
AC1026-S02-C03,AC1026-S02,Combustor,Combustor
AC1026-S02-C04,AC1026-S02,Nozzle,Nozzle
AC1026-S02-C05,AC1026-S02,Control Unit,Control Unit
AC1026-S03-C01,AC1026-S03,Flight Computer,Flight Computer
AC1026-S03-C02,AC1026-S03,Navigation Unit,Navigation Unit
AC1026-S03-C03,AC1026-S03,Communication Unit,Communication Unit
AC1026-S04-C01,AC1026-S04,Pump,Pump
AC1026-S04-C02,AC1026-S04,Filter,Filter
AC1026-S04-C03,AC1026-S04,Reservoir,Reservoir
AC1026-S04-C04,AC1026-S04,Actuator,Actuator
AC1027-S01-C01,AC1027-S01,Turbine,Turbine
AC1027-S01-C02,AC1027-S01,Compressor,Compressor
AC1027-S01-C03,AC1027-S01,Combustor,Combustor
AC1027-S01-C04,AC1027-S01,Nozzle,Nozzle
AC1027-S01-C05,AC1027-S01,Control Unit,Control Unit
AC1027-S02-C01,AC1027-S02,Turbine,Turbine
AC1027-S02-C02,AC1027-S02,Compressor,Compressor
AC1027-S02-C03,AC1027-S02,Combustor,Combustor
AC1027-S02-C04,AC1027-S02,Nozzle,Nozzle
AC1027-S02-C05,AC1027-S02,Control Unit,Control Unit
AC1027-S03-C01,AC1027-S03,Flight Computer,Flight Computer
AC1027-S03-C02,AC1027-S03,Navigation Unit,Navigation Unit
AC1027-S03-C03,AC1027-S03,Communication Unit,Communication Unit
AC1027-S04-C01,AC1027-S04,Pump,Pump
AC1027-S04-C02,AC1027-S04,Filter,Filter
AC1027-S04-C03,AC1027-S04,Reservoir,Reservoir
AC1027-S04-C04,AC1027-S04,Actuator,Actuator
AC1028-S01-C01,AC1028-S01,Turbine,Turbine
AC1028-S01-C02,AC1028-S01,Compressor,Compressor
AC1028-S01-C03,AC1028-S01,Combustor,Combustor
AC1028-S01-C04,AC1028-S01,Nozzle,Nozzle
