:START_ID(Flight),:END_ID(Delay)
FL00482,DLY00154
FL00483,DLY00155
FL00484,DLY00156
FL00485,DLY00157
FL00486,DLY00158
FL00488,DLY00159
FL00489,DLY00160
FL00495,DLY00161
FL00498,DLY00162
FL00499,DLY00163
FL00500,DLY00164
FL00506,DLY00165
FL00507,DLY00166
FL00509,DLY00167
FL00513,DLY00168
FL00515,DLY00169
FL00517,DLY00170
FL00518,DLY00171
FL00521,DLY00172
FL00522,DLY00173
FL00523,DLY00174
FL00524,DLY00175
FL00525,DLY00176
FL00526,DLY00177
FL00529,DLY00178
FL00531,DLY00179
FL00534,DLY00180
FL00535,DLY00181
FL00536,DLY00182
FL00537,DLY00183
FL00538,DLY00184
FL00539,DLY00185
FL00540,DLY00186
FL00541,DLY00187
FL00543,DLY00188
FL00545,DLY00189
FL00546,DLY00190
FL00547,DLY00191
FL00550,DLY00192
FL00551,DLY00193
FL00553,DLY00194
FL00555,DLY00195
FL00557,DLY00196
FL00559,DLY00197
FL00561,DLY00198
FL00562,DLY00199
FL00563,DLY00200
FL00567,DLY00201
FL00571,DLY00202
FL00572,DLY00203
FL00574,DLY00204
FL00576,DLY00205
FL00577,DLY00206
FL00578,DLY00207
FL00580,DLY00208
FL00583,DLY00209
FL00588,DLY00210
FL00589,DLY00211
FL00591,DLY00212
FL00593,DLY00213
FL00595,DLY00214
FL00596,DLY00215
FL00598,DLY00216
FL00600,DLY00217
FL00602,DLY00218
FL00603,DLY00219
FL00605,DLY00220
FL00607,DLY00221
FL00609,DLY00222
FL00611,DLY00223
FL00613,DLY00224
FL00614,DLY00225
FL00620,DLY00226
FL00622,DLY00227
FL00623,DLY00228
FL00625,DLY00229
FL00626,DLY00230
FL00628,DLY00231
FL00629,DLY00232
FL00630,DLY00233
FL00631,DLY00234
FL00632,DLY00235
FL00633,DLY00236
FL00634,DLY00237
FL00635,DLY00238
FL00637,DLY00239
FL00638,DLY00240
FL00639,DLY00241
FL00641,DLY00242
FL00642,DLY00243
FL00653,DLY00244
FL00654,DLY00245
FL00655,DLY00246
FL00656,DLY00247
FL00657,DLY00248
FL00658,DLY00249
FL00659,DLY00250
FL00664,DLY00251
FL00669,DLY00252
FL00672,DLY00253
FL00673,DLY00254
FL00674,DLY00255
FL00676,DLY00256
FL00678,DLY00257
FL00679,DLY00258
FL00680,DLY00259
FL00684,DLY00260
FL00685,DLY00261
FL00686,DLY00262
FL00687,DLY00263
FL00689,DLY00264
FL00690,DLY00265
FL00693,DLY00266
FL00699,DLY00267
FL00702,DLY00268
FL00703,DLY00269
FL00709,DLY00270
FL00712,DLY00271
FL00720,DLY00272
FL00721,DLY00273
FL00722,DLY00274
FL00725,DLY00275
FL00726,DLY00276
FL00732,DLY00277
FL00736,DLY00278
FL00737,DLY00279
FL00738,DLY00280
FL00739,DLY00281
FL00741,DLY00282
FL00742,DLY00283
FL00744,DLY00284
FL00745,DLY00285
FL00746,DLY00286
FL00747,DLY00287
FL00748,DLY00288
FL00751,DLY00289
FL00753,DLY00290
FL00755,DLY00291
FL00757,DLY00292
FL00758,DLY00293
FL00760,DLY00294
FL00762,DLY00295
FL00765,DLY00296
FL00766,DLY00297
FL00768,DLY00298
FL00769,DLY00299
FL00773,DLY00300
FL00779,DLY00301
FL00784,DLY00302
FL00789,DLY00303
FL00792,DLY00304
FL00793,DLY00305
FL00795,DLY00306
FL00797,DLY00307
FL00803,DLY00308
FL00805,DLY00309
FL00808,DLY00310
FL00814,DLY00311
FL00820,DLY00312
FL00821,DLY00313
FL00826,DLY00314
FL00832,DLY00315
FL00837,DLY00316
FL00840,DLY00317
FL00841,DLY00318
FL00842,DLY00319
FL00844,DLY00320
FL00848,DLY00321
FL00867,DLY00322
FL00868,DLY00323
FL00879,DLY00324
FL00880,DLY00325
FL00894,DLY00326
FL00895,DLY00327
FL00899,DLY00328
FL00907,DLY00329
FL00912,DLY00330
FL00915,DLY00331
FL00916,DLY00332
FL00919,DLY00333
FL00922,DLY00334
FL00927,DLY00335
FL00931,DLY00336
FL00933,DLY00337
FL00934,DLY00338
FL00938,DLY00339
FL00941,DLY00340
FL00949,DLY00341
FL00950,DLY00342
FL00951,DLY00343
FL00953,DLY00344
FL00956,DLY00345
FL00957,DLY00346
FL00959,DLY00347
FL00961,DLY00348
FL00962,DLY00349
FL00965,DLY00350
FL00966,DLY00351
FL00967,DLY00352
FL00968,DLY00353
FL00970,DLY00354
FL00971,DLY00355
FL00973,DLY00356
FL00979,DLY00357
FL00984,DLY00358
FL00985,DLY00359
FL00986,DLY00360
FL00987,DLY00361
FL00992,DLY00362
FL00993,DLY00363
FL01001,DLY00364
FL01003,DLY00365
FL01006,DLY00366
FL01010,DLY00367
FL01012,DLY00368
FL01017,DLY00369
FL01021,DLY00370
FL01028,DLY00371
FL01029,DLY00372
FL01035,DLY00373
FL01041,DLY00374
FL01042,DLY00375
FL01044,DLY00376
FL01049,DLY00377
FL01050,DLY00378
FL01055,DLY00379
FL01057,DLY00380
FL01060,DLY00381
FL01062,DLY00382
FL01068,DLY00383
FL01071,DLY00384
FL01073,DLY00385
FL01074,DLY00386
FL01077,DLY00387
FL01078,DLY00388
FL01083,DLY00389
FL01085,DLY00390
FL01086,DLY00391
FL01087,DLY00392
FL01090,DLY00393
FL01114,DLY00394
FL01119,DLY00395
FL01121,DLY00396
FL01129,DLY00397
FL01130,DLY00398
FL01137,DLY00399
FL01141,DLY00400
FL01143,DLY00401
FL01145,DLY00402
FL01150,DLY00403
FL01152,DLY00404
FL01153,DLY00405
FL01154,DLY00406
FL01155,DLY00407
FL01156,DLY00408
FL01162,DLY00409
FL01164,DLY00410
FL01168,DLY00411
FL01169,DLY00412
FL01170,DLY00413
FL01175,DLY00414
FL01179,DLY00415
FL01181,DLY00416
FL01184,DLY00417
FL01193,DLY00418
FL01196,DLY00419
FL01200,DLY00420
FL01207,DLY00421
FL01208,DLY00422
FL01209,DLY00423
FL01223,DLY00424
FL01224,DLY00425
FL01234,DLY00426
FL01239,DLY00427
FL01242,DLY00428
FL01247,DLY00429
FL01257,DLY00430
FL01263,DLY00431
FL01265,DLY00432
FL01269,DLY00433
FL01274,DLY00434
FL01275,DLY00435
FL01280,DLY00436
FL01281,DLY00437
FL01287,DLY00438
FL01291,DLY00439
FL01299,DLY00440
FL01301,DLY00441
FL01302,DLY00442
FL01304,DLY00443
FL01307,DLY00444
FL01308,DLY00445
FL01309,DLY00446
FL01310,DLY00447
FL01314,DLY00448
FL01320,DLY00449
FL01321,DLY00450
FL01327,DLY00451
FL01333,DLY00452
FL01337,DLY00453
FL01353,DLY00454
FL01359,DLY00455
FL01364,DLY00456
FL01366,DLY00457
FL01367,DLY00458
FL01371,DLY00459
FL01372,DLY00460
FL01373,DLY00461
FL01374,DLY00462
FL01376,DLY00463
FL01378,DLY00464
FL01379,DLY00465
FL01384,DLY00466
FL01389,DLY00467
FL01392,DLY00468
FL01394,DLY00469
FL01395,DLY00470
FL01400,DLY00471
FL01401,DLY00472
FL01403,DLY00473
FL01404,DLY00474
FL01405,DLY00475
FL01406,DLY00476
FL01409,DLY00477
FL01412,DLY00478
FL01416,DLY00479
FL01418,DLY00480
FL01424,DLY00481
FL01428,DLY00482
FL01430,DLY00483
FL01431,DLY00484
FL01437,DLY00485
FL01439,DLY00486
FL01441,DLY00487
FL01445,DLY00488
FL01459,DLY00489
FL01464,DLY00490
FL01466,DLY00491
FL01471,DLY00492
FL01474,DLY00493
FL01475,DLY00494
FL01479,DLY00495
FL01481,DLY00496
FL01487,DLY00497
FL01488,DLY00498
FL01493,DLY00499
FL01496,DLY00500
FL01502,DLY00501
FL01503,DLY00502
FL01513,DLY00503
FL01516,DLY00504
FL01523,DLY00505
FL01528,DLY00506
FL01530,DLY00507
FL01534,DLY00508
FL01536,DLY00509
FL01540,DLY00510
FL01546,DLY00511
FL01549,DLY00512
FL01550,DLY00513
FL01555,DLY00514
FL01561,DLY00515
FL01562,DLY00516
FL01564,DLY00517
FL01565,DLY00518
FL01577,DLY00519
FL01578,DLY00520
FL01584,DLY00521
FL01587,DLY00522
FL01593,DLY00523
FL01594,DLY00524
FL01598,DLY00525
FL01611,DLY00526
FL01612,DLY00527
FL01621,DLY00528
FL01622,DLY00529
FL01627,DLY00530
FL01628,DLY00531
FL01635,DLY00532
FL01636,DLY00533
FL01642,DLY00534
FL01643,DLY00535
FL01644,DLY00536
FL01645,DLY00537
FL01646,DLY00538
FL01651,DLY00539
FL01654,DLY00540
FL01656,DLY00541
FL01660,DLY00542
FL01661,DLY00543
FL01678,DLY00544
FL01683,DLY00545
FL01684,DLY00546
FL01685,DLY00547
FL01687,DLY00548
FL01695,DLY00549
FL01697,DLY00550
FL01703,DLY00551
FL01705,DLY00552
FL01707,DLY00553
FL01708,DLY00554
FL01710,DLY00555
FL01714,DLY00556
FL01717,DLY00557
FL01728,DLY00558
FL01729,DLY00559
FL01730,DLY00560
FL01738,DLY00561
FL01745,DLY00562
FL01749,DLY00563
FL01756,DLY00564
FL01757,DLY00565
FL01760,DLY00566
FL01769,DLY00567
FL01770,DLY00568
FL01772,DLY00569
FL01777,DLY00570
FL01778,DLY00571
FL01781,DLY00572
FL01785,DLY00573
FL01786,DLY00574
FL01790,DLY00575
FL01791,DLY00576
FL01794,DLY00577
FL01796,DLY00578
FL01797,DLY00579
FL01801,DLY00580
FL01806,DLY00581
FL01808,DLY00582
FL01809,DLY00583
FL01812,DLY00584
FL01824,DLY00585
FL01827,DLY00586
FL01839,DLY00587
FL01841,DLY00588
FL01843,DLY00589
FL01848,DLY00590
FL01851,DLY00591
FL01858,DLY00592
FL01863,DLY00593
FL01866,DLY00594
FL01868,DLY00595
FL01869,DLY00596
FL01870,DLY00597
FL01875,DLY00598
FL01876,DLY00599
FL01879,DLY00600
FL01880,DLY00601
FL01882,DLY00602
FL01888,DLY00603
FL01894,DLY00604
FL01899,DLY00605
FL01913,DLY00606
FL01925,DLY00607
FL01926,DLY00608
FL01927,DLY00609
FL01929,DLY00610
FL01937,DLY00611
FL01940,DLY00612
FL01943,DLY00613
FL01944,DLY00614
FL01945,DLY00615
FL01946,DLY00616
FL01949,DLY00617
FL01950,DLY00618
FL01951,DLY00619
FL01952,DLY00620
FL01953,DLY00621
FL01954,DLY00622
FL01966,DLY00623
FL01967,DLY00624
FL01969,DLY00625
FL01992,DLY00626
FL01997,DLY00627
FL02006,DLY00628
FL02009,DLY00629
FL02012,DLY00630
FL02019,DLY00631
FL02023,DLY00632
FL02030,DLY00633
FL02031,DLY00634
FL02035,DLY00635
FL02036,DLY00636
FL02037,DLY00637
FL02038,DLY00638
FL02045,DLY00639
FL02046,DLY00640
FL02050,DLY00641
FL02055,DLY00642
FL02058,DLY00643
FL02059,DLY00644
FL02060,DLY00645
FL02061,DLY00646
FL02062,DLY00647
FL02063,DLY00648
FL02065,DLY00649
FL02066,DLY00650
FL02070,DLY00651
FL02073,DLY00652
FL02074,DLY00653
FL02082,DLY00654
FL02084,DLY00655
FL02085,DLY00656
FL02087,DLY00657
FL02088,DLY00658
FL02097,DLY00659
FL02104,DLY00660
FL02107,DLY00661
FL02109,DLY00662
FL02111,DLY00663
FL02113,DLY00664
FL02114,DLY00665
FL02118,DLY00666
FL02120,DLY00667
FL02121,DLY00668
FL02122,DLY00669
FL02123,DLY00670
FL02124,DLY00671
FL02130,DLY00672
FL02133,DLY00673
FL02135,DLY00674
FL02136,DLY00675
FL02141,DLY00676
FL02145,DLY00677
FL02149,DLY00678
FL02150,DLY00679
FL02152,DLY00680
FL02155,DLY00681
FL02156,DLY00682
FL02157,DLY00683
FL02159,DLY00684
FL02160,DLY00685
FL02161,DLY00686
FL02163,DLY00687
FL02166,DLY00688
FL02173,DLY00689
FL02176,DLY00690
FL02180,DLY00691
FL02181,DLY00692
FL02183,DLY00693
FL02189,DLY00694
FL02191,DLY00695
FL02192,DLY00696
FL02196,DLY00697
FL02200,DLY00698
FL02201,DLY00699
FL02205,DLY00700
FL02206,DLY00701
FL02207,DLY00702
FL02209,DLY00703
FL02215,DLY00704
FL02216,DLY00705
FL02217,DLY00706
FL02219,DLY00707
FL02223,DLY00708
FL02225,DLY00709
FL02230,DLY00710
FL02231,DLY00711
FL02235,DLY00712
FL02237,DLY00713
FL02238,DLY00714
FL02240,DLY00715
FL02246,DLY00716
FL02247,DLY00717
FL02248,DLY00718
FL02253,DLY00719
FL02255,DLY00720
FL02260,DLY00721
FL02262,DLY00722
FL02266,DLY00723
FL02269,DLY00724
FL02271,DLY00725
FL02275,DLY00726
FL02278,DLY00727
FL02279,DLY00728
FL02280,DLY00729
FL02282,DLY00730
FL02283,DLY00731
FL02285,DLY00732
FL02286,DLY00733
FL02287,DLY00734
FL02288,DLY00735
FL02289,DLY00736
FL02290,DLY00737
FL02291,DLY00738
FL02293,DLY00739
FL02295,DLY00740
FL02296,DLY00741
FL02297,DLY00742
FL02301,DLY00743
FL02302,DLY00744
FL02307,DLY00745
FL02316,DLY00746
FL02317,DLY00747
FL02318,DLY00748
FL02328,DLY00749
FL02329,DLY00750
FL02332,DLY00751
FL02334,DLY00752
FL02335,DLY00753
FL02337,DLY00754
FL02339,DLY00755
FL02341,DLY00756
FL02342,DLY00757
FL02346,DLY00758
FL02347,DLY00759
FL02348,DLY00760
FL02349,DLY00761
FL02351,DLY00762
FL02355,DLY00763
FL02357,DLY00764
FL02360,DLY00765
FL02362,DLY00766
FL02365,DLY00767
FL02368,DLY00768
FL02369,DLY00769
FL02373,DLY00770
FL02378,DLY00771
FL02381,DLY00772
FL02384,DLY00773
FL02385,DLY00774
FL02386,DLY00775
FL02387,DLY00776
FL02391,DLY00777
FL02393,DLY00778
FL02396,DLY00779
FL02397,DLY00780
FL02406,DLY00781
FL02412,DLY00782
FL02413,DLY00783
FL02414,DLY00784
FL02416,DLY00785
FL02419,DLY00786
FL02426,DLY00787
FL02428,DLY00788
FL02432,DLY00789
FL02434,DLY00790
FL02435,DLY00791
FL02440,DLY00792
FL02441,DLY00793
FL02443,DLY00794
FL02446,DLY00795
FL02453,DLY00796
FL02454,DLY00797
FL02455,DLY00798
FL02458,DLY00799
FL02463,DLY00800
FL02464,DLY00801
FL02469,DLY00802
FL02470,DLY00803
FL02473,DLY00804
FL02474,DLY00805
FL02475,DLY00806
FL02478,DLY00807
FL02479,DLY00808
FL02480,DLY00809
FL02481,DLY00810
FL02483,DLY00811
FL02485,DLY00812
FL02486,DLY00813
FL02487,DLY00814
FL02492,DLY00815
FL02496,DLY00816
FL02498,DLY00817
FL02499,DLY00818
FL02500,DLY00819
FL02501,DLY00820
FL02502,DLY00821
FL02503,DLY00822
FL02504,DLY00823
FL02506,DLY00824
FL02507,DLY00825
FL02508,DLY00826
FL02509,DLY00827
FL02510,DLY00828
FL02511,DLY00829
FL02512,DLY00830
FL02513,DLY00831
FL02514,DLY00832
FL02516,DLY00833
FL02520,DLY00834
FL02521,DLY00835
FL02522,DLY00836
FL02525,DLY00837
FL02526,DLY00838
FL02531,DLY00839
FL02533,DLY00840
FL02534,DLY00841
FL02535,DLY00842
FL02537,DLY00843
FL02543,DLY00844
FL02544,DLY00845
FL02546,DLY00846
FL02549,DLY00847
FL02550,DLY00848
FL02553,DLY00849
FL02554,DLY00850
FL02557,DLY00851
FL02559,DLY00852
FL02560,DLY00853
FL02561,DLY00854
FL02563,DLY00855
FL02564,DLY00856
FL02566,DLY00857
FL02567,DLY00858
FL02569,DLY00859
FL02570,DLY00860
FL02571,DLY00861
FL02572,DLY00862
FL02573,DLY00863
FL02574,DLY00864
FL02575,DLY00865
FL02576,DLY00866
FL02579,DLY00867
FL02580,DLY00868
FL02582,DLY00869
FL02583,DLY00870
FL02586,DLY00871
FL02587,DLY00872
FL02590,DLY00873
FL02591,DLY00874
FL02592,DLY00875
FL02597,DLY00876
FL02598,DLY00877
FL02600,DLY00878
FL02601,DLY00879
FL02602,DLY00880
FL02605,DLY00881
FL02608,DLY00882
FL02614,DLY00883
FL02622,DLY00884
FL02623,DLY00885
FL02624,DLY00886
FL02625,DLY00887
FL02627,DLY00888
FL02628,DLY00889
FL02629,DLY00890
FL02631,DLY00891
FL02632,DLY00892
FL02634,DLY00893
FL02637,DLY00894
FL02638,DLY00895
FL02640,DLY00896
FL02643,DLY00897
FL02645,DLY00898
FL02649,DLY00899
FL02652,DLY00900
FL02659,DLY00901
FL02660,DLY00902
FL02661,DLY00903
FL02662,DLY00904
FL02664,DLY00905
FL02665,DLY00906
FL02666,DLY00907
FL02672,DLY00908
FL02673,DLY00909
FL02676,DLY00910
FL02677,DLY00911
FL02678,DLY00912
FL02680,DLY00913
FL02681,DLY00914
FL02683,DLY00915
FL02688,DLY00916
FL02691,DLY00917
FL02694,DLY00918
FL02702,DLY00919
FL02703,DLY00920
FL02705,DLY00921
FL02706,DLY00922
FL02707,DLY00923
FL02709,DLY00924
FL02710,DLY00925
FL02711,DLY00926
FL02712,DLY00927
FL02713,DLY00928
FL02714,DLY00929
FL02715,DLY00930
FL02722,DLY00931
FL02727,DLY00932
FL02732,DLY00933
FL02733,DLY00934
FL02737,DLY00935
FL02739,DLY00936
FL02741,DLY00937
FL02742,DLY00938
FL02744,DLY00939
FL02747,DLY00940
FL02751,DLY00941
FL02752,DLY00942
FL02753,DLY00943
FL02754,DLY00944
FL02755,DLY00945
FL02758,DLY00946
FL02759,DLY00947
FL02760,DLY00948
FL02762,DLY00949
FL02765,DLY00950
FL02767,DLY00951
FL02768,DLY00952
FL02771,DLY00953
FL02772,DLY00954
FL02774,DLY00955
FL02777,DLY00956
FL02778,DLY00957
FL02779,DLY00958
FL02780,DLY00959
FL02781,DLY00960
FL02784,DLY00961
FL02785,DLY00962
FL02786,DLY00963
FL02787,DLY00964
FL02788,DLY00965
FL02790,DLY00966
FL02793,DLY00967
FL02794,DLY00968
FL02796,DLY00969
FL02797,DLY00970
FL02798,DLY00971
FL02799,DLY00972
FL02801,DLY00973
FL02802,DLY00974
FL02804,DLY00975
FL02806,DLY00976
FL02809,DLY00977
FL02810,DLY00978
FL02813,DLY00979
FL02814,DLY00980
FL02815,DLY00981
FL02818,DLY00982
FL02819,DLY00983
FL02821,DLY00984
FL02822,DLY00985
FL02823,DLY00986
FL02825,DLY00987
FL02826,DLY00988
FL02827,DLY00989
FL02830,DLY00990
FL02832,DLY00991
FL02833,DLY00992
FL02836,DLY00993
FL02837,DLY00994
FL02840,DLY00995
FL02841,DLY00996
FL02846,DLY00997
FL02847,DLY00998
FL02849,DLY00999
FL02850,DLY01000
FL02852,DLY01001
FL02853,DLY01002
FL02854,DLY01003
FL02857,DLY01004
FL02859,DLY01005
FL02860,DLY01006
FL02864,DLY01007
FL02865,DLY01008
FL02866,DLY01009
FL02867,DLY01010
FL02868,DLY01011
FL02872,DLY01012
FL02873,DLY01013
FL02875,DLY01014
FL02876,DLY01015
FL02877,DLY01016
FL02880,DLY01017
FL02882,DLY01018
FL02885,DLY01019
FL02886,DLY01020
FL02887,DLY01021
FL02891,DLY01022
FL02892,DLY01023
FL02895,DLY01024
FL02898,DLY01025
FL02899,DLY01026
FL02900,DLY01027
FL02901,DLY01028
FL02902,DLY01029
FL02905,DLY01030
FL02907,DLY01031
FL02910,DLY01032
FL02912,DLY01033
FL02913,DLY01034
FL02914,DLY01035
FL02915,DLY01036
FL02916,DLY01037
FL02917,DLY01038
FL02919,DLY01039
FL02921,DLY01040
FL02925,DLY01041
FL02926,DLY01042
FL02930,DLY01043
FL02935,DLY01044
FL02936,DLY01045
FL02941,DLY01046
FL02943,DLY01047
FL02944,DLY01048
FL02946,DLY01049
FL02948,DLY01050
FL02949,DLY01051
FL02950,DLY01052
FL02951,DLY01053
FL02954,DLY01054
FL02955,DLY01055
FL02956,DLY01056
FL02958,DLY01057
FL02959,DLY01058
FL02961,DLY01059
FL02963,DLY01060
FL02965,DLY01061
FL02967,DLY01062
FL02968,DLY01063
FL02972,DLY01064
FL02973,DLY01065
FL02975,DLY01066
FL02978,DLY01067
FL02984,DLY01068
FL02988,DLY01069
FL02993,DLY01070
FL02996,DLY01071
FL02997,DLY01072
FL02999,DLY01073
FL03000,DLY01074
FL03003,DLY01075
FL03006,DLY01076
FL03007,DLY01077
FL03008,DLY01078
FL03012,DLY01079
FL03014,DLY01080
FL03016,DLY01081
FL03020,DLY01082
FL03028,DLY01083
FL03032,DLY01084
FL03034,DLY01085
FL03035,DLY01086
FL03036,DLY01087
FL03037,DLY01088
FL03038,DLY01089
FL03039,DLY01090
FL03041,DLY01091
FL03044,DLY01092
FL03045,DLY01093
FL03047,DLY01094
FL03048,DLY01095
FL03049,DLY01096
FL03052,DLY01097
FL03053,DLY01098
FL03056,DLY01099
FL03057,DLY01100
FL03058,DLY01101
FL03059,DLY01102
FL03061,DLY01103
FL03062,DLY01104
FL03063,DLY01105
FL03064,DLY01106
FL03066,DLY01107
FL03068,DLY01108
FL03069,DLY01109
FL03071,DLY01110
FL03072,DLY01111
FL03073,DLY01112
FL03075,DLY01113
FL03077,DLY01114
FL03079,DLY01115
FL03080,DLY01116
FL03081,DLY01117
FL03083,DLY01118
FL03087,DLY01119
FL03088,DLY01120
FL03089,DLY01121
FL03090,DLY01122
FL03091,DLY01123
FL03094,DLY01124
FL03099,DLY01125
FL03100,DLY01126
FL03104,DLY01127
FL03106,DLY01128
FL03111,DLY01129
FL03112,DLY01130
FL03113,DLY01131
FL03114,DLY01132
FL03115,DLY01133
FL03116,DLY01134
FL03117,DLY01135
FL03118,DLY01136
FL03120,DLY01137
FL03121,DLY01138
FL03124,DLY01139
FL03125,DLY01140
FL03127,DLY01141
FL03134,DLY01142
FL03135,DLY01143
FL03138,DLY01144
FL03140,DLY01145
FL03141,DLY01146
FL03142,DLY01147
FL03143,DLY01148
FL03148,DLY01149
FL03149,DLY01150
FL03150,DLY01151
FL03151,DLY01152
FL03152,DLY01153
FL03157,DLY01154
FL03158,DLY01155
FL03162,DLY01156
FL03163,DLY01157
FL03165,DLY01158
FL03169,DLY01159
FL03173,DLY01160
FL03174,DLY01161
FL03178,DLY01162
FL03182,DLY01163
FL03184,DLY01164
FL03186,DLY01165
FL03187,DLY01166
FL03190,DLY01167
FL03193,DLY01168
FL03195,DLY01169
FL03196,DLY01170
FL03197,DLY01171
FL03198,DLY01172
FL03202,DLY01173
FL03206,DLY01174
FL03207,DLY01175
FL03218,DLY01176
FL03219,DLY01177
FL03221,DLY01178
FL03222,DLY01179
FL03229,DLY01180
FL03230,DLY01181
FL03231,DLY01182
FL03232,DLY01183
FL03233,DLY01184
FL03234,DLY01185
FL03235,DLY01186
FL03238,DLY01187
FL03240,DLY01188
FL03241,DLY01189
FL03242,DLY01190
FL03243,DLY01191
FL03244,DLY01192
FL03245,DLY01193
FL03246,DLY01194
FL03247,DLY01195
FL03251,DLY01196
FL03258,DLY01197
FL03259,DLY01198
FL03262,DLY01199
FL03263,DLY01200
FL03267,DLY01201
FL03268,DLY01202
FL03269,DLY01203
FL03273,DLY01204
FL03275,DLY01205
FL03276,DLY01206
FL03278,DLY01207
FL03282,DLY01208
FL03285,DLY01209
FL03292,DLY01210
FL03295,DLY01211
FL03316,DLY01212
FL03324,DLY01213
FL03328,DLY01214
FL03330,DLY01215
FL03331,DLY01216
FL03336,DLY01217
FL03337,DLY01218
FL03338,DLY01219
FL03341,DLY01220
FL03342,DLY01221
FL03343,DLY01222
FL03348,DLY01223
FL03349,DLY01224
FL03364,DLY01225
FL03373,DLY01226
FL03386,DLY01227
FL03388,DLY01228
FL03392,DLY01229
FL03399,DLY01230
FL03403,DLY01231
FL03405,DLY01232
FL03406,DLY01233
FL03410,DLY01234
FL03414,DLY01235
FL03415,DLY01236
FL03420,DLY01237
FL03422,DLY01238
FL03448,DLY01239
FL03449,DLY01240
FL03451,DLY01241
FL03456,DLY01242
FL03459,DLY01243
FL03466,DLY01244
FL03469,DLY01245
FL03475,DLY01246
FL03480,DLY01247
FL03482,DLY01248
FL03484,DLY01249
FL03487,DLY01250
FL03488,DLY01251
FL03490,DLY01252
FL03492,DLY01253
FL03494,DLY01254
FL03502,DLY01255
FL03503,DLY01256
FL03508,DLY01257
FL03513,DLY01258
FL03518,DLY01259
FL03519,DLY01260
FL03521,DLY01261
FL03524,DLY01262
FL03527,DLY01263
FL03530,DLY01264
FL03546,DLY01265
FL03552,DLY01266
FL03555,DLY01267
FL03558,DLY01268
