:START_ID(Flight),:END_ID(Airport)
FL00490,AP007
FL00491,AP029
FL00492,AP036
FL00493,AP010
FL00494,AP038
FL00495,AP012
FL00496,AP001
FL00497,AP002
FL00498,AP029
FL00499,AP002
FL00500,AP001
FL00501,AP030
FL00502,AP004
FL00503,AP009
FL00504,AP001
FL00505,AP021
FL00506,AP025
FL00507,AP012
FL00508,AP007
FL00509,AP008
FL00510,AP007
FL00511,AP008
FL00512,AP031
FL00513,AP006
FL00514,AP026
FL00515,AP038
FL00516,AP003
FL00517,AP005
FL00518,AP001
FL00519,AP016
FL00520,AP006
FL00521,AP013
FL00522,AP008
FL00523,AP001
FL00524,AP004
FL00525,AP010
FL00526,AP023
FL00527,AP006
FL00528,AP010
FL00529,AP025
FL00530,AP034
FL00531,AP005
FL00532,AP002
FL00533,AP008
FL00534,AP001
FL00535,AP017
FL00536,AP008
FL00537,AP036
FL00538,AP022
FL00539,AP016
FL00540,AP033
FL00541,AP036
FL00542,AP008
FL00543,AP037
FL00544,AP026
FL00545,AP012
FL00546,AP010
FL00547,AP025
FL00548,AP003
FL00549,AP027
FL00550,AP023
FL00551,AP009
FL00552,AP004
FL00553,AP010
FL00554,AP005
FL00555,AP031
FL00556,AP028
FL00557,AP003
FL00558,AP024
FL00559,AP004
FL00560,AP002
FL00561,AP001
FL00562,AP009
FL00563,AP002
FL00564,AP003
FL00565,AP025
FL00566,AP004
FL00567,AP003
FL00568,AP002
FL00569,AP004
FL00570,AP039
FL00571,AP028
FL00572,AP020
FL00573,AP001
FL00574,AP007
FL00575,AP009
FL00576,AP011
FL00577,AP005
FL00578,AP036
FL00579,AP004
FL00580,AP009
FL00581,AP003
FL00582,AP037
FL00583,AP001
FL00584,AP015
FL00585,AP035
FL00586,AP013
FL00587,AP030
FL00588,AP003
FL00589,AP001
FL00590,AP004
FL00591,AP011
FL00592,AP010
FL00593,AP008
FL00594,AP039
FL00595,AP002
FL00596,AP007
FL00597,AP027
FL00598,AP010
FL00599,AP005
FL00600,AP004
FL00601,AP008
FL00602,AP033
FL00603,AP009
FL00604,AP002
FL00605,AP027
FL00606,AP003
FL00607,AP037
FL00608,AP030
FL00609,AP005
FL00610,AP015
FL00611,AP016
FL00612,AP028
FL00613,AP008
FL00614,AP009
FL00615,AP008
FL00616,AP014
FL00617,AP002
FL00618,AP001
FL00619,AP030
FL00620,AP026
FL00621,AP037
FL00622,AP022
FL00623,AP033
FL00624,AP009
FL00625,AP001
FL00626,AP034
FL00627,AP009
FL00628,AP007
FL00629,AP006
FL00630,AP008
FL00631,AP019
FL00632,AP012
FL00633,AP037
FL00634,AP001
FL00635,AP008
FL00636,AP017
FL00637,AP007
FL00638,AP019
FL00639,AP035
FL00640,AP007
FL00641,AP010
FL00642,AP003
FL00643,AP029
FL00644,AP007
FL00645,AP003
FL00646,AP014
FL00647,AP002
FL00648,AP040
FL00649,AP020
FL00650,AP033
FL00651,AP002
FL00652,AP007
FL00653,AP017
FL00654,AP007
FL00655,AP025
FL00656,AP037
FL00657,AP003
FL00658,AP030
FL00659,AP010
FL00660,AP007
FL00661,AP020
FL00662,AP001
FL00663,AP004
FL00664,AP006
FL00665,AP002
FL00666,AP028
FL00667,AP002
FL00668,AP008
FL00669,AP012
FL00670,AP005
FL00671,AP023
FL00672,AP001
FL00673,AP008
FL00674,AP033
FL00675,AP038
FL00676,AP030
FL00677,AP025
FL00678,AP019
FL00679,AP012
FL00680,AP031
FL00681,AP038
FL00682,AP013
FL00683,AP007
FL00684,AP010
FL00685,AP025
FL00686,AP003
FL00687,AP009
FL00688,AP008
FL00689,AP017
FL00690,AP001
FL00691,AP007
FL00692,AP006
FL00693,AP037
FL00694,AP006
FL00695,AP037
FL00696,AP009
FL00697,AP037
FL00698,AP013
FL00699,AP024
FL00700,AP022
FL00701,AP018
FL00702,AP016
FL00703,AP005
FL00704,AP033
FL00705,AP001
FL00706,AP010
FL00707,AP005
FL00708,AP035
FL00709,AP027
FL00710,AP019
FL00711,AP024
FL00712,AP010
FL00713,AP012
FL00714,AP033
FL00715,AP010
FL00716,AP005
FL00717,AP021
FL00718,AP015
FL00719,AP002
FL00720,AP035
FL00721,AP020
FL00722,AP033
FL00723,AP008
FL00724,AP014
FL00725,AP007
FL00726,AP002
FL00727,AP006
FL00728,AP026
FL00729,AP015
FL00730,AP006
FL00731,AP001
FL00732,AP008
FL00733,AP039
FL00734,AP006
FL00735,AP040
FL00736,AP007
FL00737,AP012
FL00738,AP010
FL00739,AP007
FL00740,AP011
FL00741,AP010
FL00742,AP002
FL00743,AP007
FL00744,AP004
FL00745,AP009
FL00746,AP007
FL00747,AP037
FL00748,AP009
FL00749,AP010
FL00750,AP009
FL00751,AP002
FL00752,AP004
FL00753,AP009
FL00754,AP005
FL00755,AP006
FL00756,AP001
FL00757,AP021
FL00758,AP033
FL00759,AP028
FL00760,AP009
FL00761,AP001
FL00762,AP005
FL00763,AP002
FL00764,AP001
FL00765,AP017
FL00766,AP004
FL00767,AP024
FL00768,AP001
FL00769,AP014
FL00770,AP034
FL00771,AP004
FL00772,AP008
FL00773,AP006
FL00774,AP008
FL00775,AP036
FL00776,AP024
FL00777,AP016
FL00778,AP038
FL00779,AP034
FL00780,AP039
FL00781,AP011
FL00782,AP036
FL00783,AP003
FL00784,AP001
FL00785,AP005
FL00786,AP002
FL00787,AP033
FL00788,AP040
FL00789,AP036
FL00790,AP003
FL00791,AP007
FL00792,AP020
FL00793,AP008
FL00794,AP031
FL00795,AP006
FL00796,AP034
FL00797,AP032
FL00798,AP002
FL00799,AP014
FL00800,AP018
FL00801,AP001
FL00802,AP026
FL00803,AP001
FL00804,AP002
FL00805,AP010
FL00806,AP015
FL00807,AP034
FL00808,AP002
FL00809,AP017
FL00810,AP002
FL00811,AP034
FL00812,AP003
FL00813,AP030
FL00814,AP007
FL00815,AP006
FL00816,AP002
FL00817,AP034
FL00818,AP014
FL00819,AP004
FL00820,AP001
FL00821,AP002
FL00822,AP006
FL00823,AP015
FL00824,AP006
FL00825,AP009
FL00826,AP006
FL00827,AP008
FL00828,AP006
FL00829,AP033
FL00830,AP029
FL00831,AP004
FL00832,AP010
FL00833,AP020
FL00834,AP010
FL00835,AP024
FL00836,AP009
FL00837,AP025
FL00838,AP037
FL00839,AP026
FL00840,AP002
FL00841,AP004
FL00842,AP036
FL00843,AP002
FL00844,AP018
FL00845,AP037
FL00846,AP001
FL00847,AP002
FL00848,AP004
FL00849,AP020
FL00850,AP033
FL00851,AP005
FL00852,AP014
FL00853,AP007
FL00854,AP025
FL00855,AP032
FL00856,AP030
FL00857,AP001
FL00858,AP003
FL00859,AP008
FL00860,AP007
FL00861,AP008
FL00862,AP006
FL00863,AP005
FL00864,AP020
FL00865,AP006
FL00866,AP030
FL00867,AP002
FL00868,AP037
FL00869,AP002
FL00870,AP010
FL00871,AP036
FL00872,AP002
FL00873,AP005
FL00874,AP004
FL00875,AP005
FL00876,AP028
FL00877,AP030
FL00878,AP031
FL00879,AP017
FL00880,AP037
FL00881,AP038
FL00882,AP007
FL00883,AP038
FL00884,AP002
FL00885,AP036
FL00886,AP004
FL00887,AP012
FL00888,AP030
FL00889,AP003
FL00890,AP004
FL00891,AP017
FL00892,AP036
FL00893,AP004
FL00894,AP018
FL00895,AP015
FL00896,AP035
FL00897,AP034
FL00898,AP033
FL00899,AP015
FL00900,AP036
FL00901,AP031
FL00902,AP008
FL00903,AP035
FL00904,AP019
FL00905,AP002
FL00906,AP018
FL00907,AP031
FL00908,AP001
FL00909,AP025
FL00910,AP018
FL00911,AP003
FL00912,AP022
FL00913,AP031
FL00914,AP028
FL00915,AP015
FL00916,AP012
FL00917,AP019
FL00918,AP009
FL00919,AP011
FL00920,AP027
FL00921,AP001
FL00922,AP033
FL00923,AP019
FL00924,AP024
FL00925,AP004
FL00926,AP039
FL00927,AP001
FL00928,AP007
FL00929,AP022
FL00930,AP007
FL00931,AP040
FL00932,AP005
FL00933,AP002
FL00934,AP005
FL00935,AP018
FL00936,AP004
FL00937,AP026
FL00938,AP016
FL00939,AP005
FL00940,AP002
FL00941,AP012
FL00942,AP018
FL00943,AP011
FL00944,AP002
FL00945,AP032
FL00946,AP003
FL00947,AP009
FL00948,AP012
FL00949,AP002
FL00950,AP025
FL00951,AP010
FL00952,AP030
FL00953,AP018
FL00954,AP009
FL00955,AP004
FL00956,AP010
FL00957,AP027
FL00958,AP010
FL00959,AP009
FL00960,AP033
FL00961,AP040
FL00962,AP001
FL00963,AP005
FL00964,AP012
FL00965,AP021
FL00966,AP005
FL00967,AP015
FL00968,AP007
FL00969,AP005
FL00970,AP006
FL00971,AP012
FL00972,AP029
FL00973,AP005
FL00974,AP019
FL00975,AP009
FL00976,AP040
FL00977,AP003
FL00978,AP002
FL00979,AP009
FL00980,AP005
FL00981,AP027
FL00982,AP030
FL00983,AP027
FL00984,AP003
FL00985,AP031
FL00986,AP004
FL00987,AP009
FL00988,AP005
FL00989,AP004
FL00990,AP005
FL00991,AP001
FL00992,AP006
FL00993,AP013
FL00994,AP010
FL00995,AP006
FL00996,AP008
FL00997,AP018
FL00998,AP004
FL00999,AP003
FL01000,AP009
FL01001,AP004
FL01002,AP001
FL01003,AP005
FL01004,AP009
FL01005,AP026
FL01006,AP006
FL01007,AP002
FL01008,AP025
FL01009,AP003
FL01010,AP028
FL01011,AP032
FL01012,AP035
FL01013,AP028
FL01014,AP027
FL01015,AP001
FL01016,AP027
FL01017,AP004
FL01018,AP026
FL01019,AP021
FL01020,AP004
FL01021,AP003
FL01022,AP005
FL01023,AP001
FL01024,AP002
FL01025,AP003
FL01026,AP004
FL01027,AP034
FL01028,AP010
FL01029,AP003
FL01030,AP017
FL01031,AP019
FL01032,AP006
FL01033,AP010
FL01034,AP001
FL01035,AP025
FL01036,AP005
FL01037,AP018
FL01038,AP008
FL01039,AP006
FL01040,AP008
FL01041,AP001
FL01042,AP014
FL01043,AP004
FL01044,AP021
FL01045,AP008
FL01046,AP002
FL01047,AP019
FL01048,AP001
FL01049,AP017
FL01050,AP007
FL01051,AP021
FL01052,AP010
FL01053,AP005
FL01054,AP024
FL01055,AP036
FL01056,AP006
FL01057,AP008
FL01058,AP014
FL01059,AP002
FL01060,AP003
FL01061,AP006
FL01062,AP031
FL01063,AP013
FL01064,AP002
FL01065,AP008
FL01066,AP001
FL01067,AP007
FL01068,AP006
FL01069,AP011
FL01070,AP003
FL01071,AP009
FL01072,AP011
FL01073,AP018
FL01074,AP009
FL01075,AP003
FL01076,AP002
FL01077,AP034
FL01078,AP007
FL01079,AP036
FL01080,AP007
FL01081,AP029
FL01082,AP010
FL01083,AP015
FL01084,AP008
FL01085,AP010
FL01086,AP009
FL01087,AP021
FL01088,AP010
FL01089,AP029
FL01090,AP033
FL01091,AP021
FL01092,AP008
FL01093,AP007
FL01094,AP001
FL01095,AP010
FL01096,AP005
FL01097,AP002
FL01098,AP037
FL01099,AP026
FL01100,AP006
FL01101,AP028
FL01102,AP029
FL01103,AP006
FL01104,AP030
FL01105,AP010
FL01106,AP028
FL01107,AP005
FL01108,AP039
FL01109,AP025
FL01110,AP023
FL01111,AP007
FL01112,AP004
FL01113,AP009
FL01114,AP018
FL01115,AP027
FL01116,AP007
FL01117,AP036
FL01118,AP010
FL01119,AP005
FL01120,AP002
FL01121,AP009
FL01122,AP004
FL01123,AP006
FL01124,AP020
FL01125,AP006
FL01126,AP007
FL01127,AP001
FL01128,AP036
FL01129,AP008
FL01130,AP011
FL01131,AP018
FL01132,AP030
FL01133,AP006
FL01134,AP007
FL01135,AP006
FL01136,AP008
FL01137,AP002
FL01138,AP005
FL01139,AP010
FL01140,AP002
FL01141,AP039
FL01142,AP010
FL01143,AP004
FL01144,AP020
FL01145,AP008
FL01146,AP026
FL01147,AP007
FL01148,AP010
FL01149,AP014
FL01150,AP004
FL01151,AP033
FL01152,AP010
FL01153,AP006
FL01154,AP029
FL01155,AP006
FL01156,AP023
FL01157,AP013
FL01158,AP034
FL01159,AP014
FL01160,AP023
FL01161,AP006
FL01162,AP034
FL01163,AP006
FL01164,AP025
FL01165,AP002
FL01166,AP031
FL01167,AP040
FL01168,AP001
FL01169,AP016
FL01170,AP001
FL01171,AP027
FL01172,AP010
FL01173,AP025
FL01174,AP003
FL01175,AP017
FL01176,AP019
FL01177,AP021
FL01178,AP008
FL01179,AP010
FL01180,AP006
FL01181,AP015
FL01182,AP039
FL01183,AP007
FL01184,AP017
FL01185,AP009
FL01186,AP038
FL01187,AP009
FL01188,AP001
FL01189,AP003
FL01190,AP009
FL01191,AP005
FL01192,AP003
FL01193,AP004
FL01194,AP002
FL01195,AP036
FL01196,AP018
FL01197,AP038
FL01198,AP035
FL01199,AP030
FL01200,AP022
FL01201,AP005
FL01202,AP024
FL01203,AP006
FL01204,AP010
FL01205,AP004
FL01206,AP002
FL01207,AP010
FL01208,AP009
FL01209,AP003
FL01210,AP007
FL01211,AP021
FL01212,AP003
FL01213,AP016
FL01214,AP023
FL01215,AP039
FL01216,AP004
FL01217,AP005
FL01218,AP019
FL01219,AP010
FL01220,AP007
FL01221,AP001
FL01222,AP003
FL01223,AP009
FL01224,AP038
FL01225,AP002
FL01226,AP005
FL01227,AP008
FL01228,AP026
FL01229,AP010
FL01230,AP005
FL01231,AP006
FL01232,AP003
FL01233,AP006
FL01234,AP033
FL01235,AP006
FL01236,AP005
FL01237,AP013
FL01238,AP002
FL01239,AP004
FL01240,AP006
FL01241,AP009
FL01242,AP008
FL01243,AP006
FL01244,AP029
FL01245,AP010
FL01246,AP002
FL01247,AP036
FL01248,AP039
FL01249,AP008
FL01250,AP006
FL01251,AP003
FL01252,AP007
FL01253,AP001
FL01254,AP040
FL01255,AP010
FL01256,AP024
FL01257,AP022
FL01258,AP021
FL01259,AP031
FL01260,AP005
FL01261,AP010
FL01262,AP002
FL01263,AP008
FL01264,AP039
FL01265,AP001
FL01266,AP009
FL01267,AP005
FL01268,AP009
FL01269,AP021
FL01270,AP035
FL01271,AP038
FL01272,AP006
FL01273,AP017
FL01274,AP001
FL01275,AP037
FL01276,AP014
FL01277,AP032
FL01278,AP003
FL01279,AP002
FL01280,AP009
FL01281,AP023
FL01282,AP006
FL01283,AP008
FL01284,AP016
FL01285,AP009
FL01286,AP003
FL01287,AP029
FL01288,AP030
FL01289,AP025
FL01290,AP032
FL01291,AP025
FL01292,AP015
FL01293,AP027
FL01294,AP039
FL01295,AP006
FL01296,AP003
FL01297,AP014
FL01298,AP038
FL01299,AP027
FL01300,AP010
FL01301,AP031
FL01302,AP032
FL01303,AP009
FL01304,AP007
FL01305,AP003
FL01306,AP001
FL01307,AP002
FL01308,AP001
FL01309,AP009
FL01310,AP005
FL01311,AP002
FL01312,AP011
FL01313,AP014
FL01314,AP002
FL01315,AP029
FL01316,AP003
FL01317,AP002
FL01318,AP001
FL01319,AP022
FL01320,AP025
FL01321,AP032
FL01322,AP004
FL01323,AP034
FL01324,AP038
FL01325,AP030
FL01326,AP038
FL01327,AP023
FL01328,AP016
FL01329,AP013
FL01330,AP020
FL01331,AP033
FL01332,AP004
FL01333,AP033
FL01334,AP005
FL01335,AP023
FL01336,AP003
FL01337,AP021
FL01338,AP002
FL01339,AP006
FL01340,AP026
FL01341,AP022
FL01342,AP006
FL01343,AP007
FL01344,AP001
FL01345,AP023
FL01346,AP024
FL01347,AP025
FL01348,AP004
FL01349,AP017
FL01350,AP002
FL01351,AP033
FL01352,AP029
FL01353,AP006
FL01354,AP039
FL01355,AP008
FL01356,AP020
FL01357,AP004
FL01358,AP003
FL01359,AP022
FL01360,AP027
FL01361,AP017
FL01362,AP001
FL01363,AP025
FL01364,AP008
FL01365,AP009
FL01366,AP010
FL01367,AP031
FL01368,AP029
FL01369,AP004
FL01370,AP009
FL01371,AP017
FL01372,AP001
FL01373,AP003
FL01374,AP005
FL01375,AP031
FL01376,AP040
FL01377,AP039
FL01378,AP002
FL01379,AP035
FL01380,AP008
FL01381,AP005
FL01382,AP004
FL01383,AP031
FL01384,AP038
FL01385,AP005
FL01386,AP028
FL01387,AP019
FL01388,AP003
FL01389,AP039
FL01390,AP008
FL01391,AP004
FL01392,AP008
FL01393,AP009
FL01394,AP024
FL01395,AP035
FL01396,AP024
FL01397,AP032
FL01398,AP004
FL01399,AP038
FL01400,AP006
FL01401,AP040
FL01402,AP004
FL01403,AP005
FL01404,AP008
FL01405,AP012
FL01406,AP002
FL01407,AP024
FL01408,AP003
FL01409,AP009
FL01410,AP004
FL01411,AP005
FL01412,AP009
FL01413,AP022
FL01414,AP009
FL01415,AP005
FL01416,AP028
FL01417,AP016
FL01418,AP003
FL01419,AP007
FL01420,AP017
FL01421,AP030
FL01422,AP039
FL01423,AP010
FL01424,AP006
FL01425,AP025
FL01426,AP007
FL01427,AP006
FL01428,AP005
FL01429,AP017
FL01430,AP004
FL01431,AP021
FL01432,AP005
FL01433,AP004
FL01434,AP008
FL01435,AP010
FL01436,AP007
FL01437,AP008
FL01438,AP037
FL01439,AP005
FL01440,AP003
FL01441,AP007
FL01442,AP017
FL01443,AP022
FL01444,AP006
FL01445,AP008
FL01446,AP036
FL01447,AP007
FL01448,AP032
FL01449,AP036
FL01450,AP008
FL01451,AP019
FL01452,AP002
FL01453,AP022
FL01454,AP028
FL01455,AP033
FL01456,AP008
FL01457,AP029
FL01458,AP009
FL01459,AP021
FL01460,AP025
FL01461,AP026
FL01462,AP010
FL01463,AP025
FL01464,AP009
FL01465,AP006
FL01466,AP009
FL01467,AP001
FL01468,AP019
FL01469,AP008
FL01470,AP009
FL01471,AP005
FL01472,AP008
FL01473,AP007
FL01474,AP003
FL01475,AP021
FL01476,AP006
FL01477,AP001
FL01478,AP006
FL01479,AP009
FL01480,AP003
FL01481,AP035
FL01482,AP009
FL01483,AP012
FL01484,AP009
FL01485,AP040
FL01486,AP029
FL01487,AP002
FL01488,AP025
FL01489,AP004
FL01490,AP034
FL01491,AP011
FL01492,AP010
FL01493,AP025
FL01494,AP010
FL01495,AP007
FL01496,AP002
FL01497,AP001
FL01498,AP009
FL01499,AP004
FL01500,AP010
FL01501,AP021
FL01502,AP009
FL01503,AP007
FL01504,AP017
FL01505,AP003
FL01506,AP002
FL01507,AP033
FL01508,AP009
FL01509,AP003
FL01510,AP030
FL01511,AP008
FL01512,AP009
FL01513,AP007
FL01514,AP031
FL01515,AP001
FL01516,AP016
FL01517,AP005
FL01518,AP040
FL01519,AP021
FL01520,AP006
FL01521,AP036
FL01522,AP033
FL01523,AP002
FL01524,AP004
FL01525,AP021
FL01526,AP010
FL01527,AP019
FL01528,AP005
FL01529,AP007
FL01530,AP022
FL01531,AP008
FL01532,AP039
FL01533,AP027
FL01534,AP003
FL01535,AP004
FL01536,AP008
FL01537,AP029
FL01538,AP005
FL01539,AP011
FL01540,AP007
FL01541,AP032
FL01542,AP006
FL01543,AP040
FL01544,AP003
FL01545,AP023
FL01546,AP004
FL01547,AP010
FL01548,AP003
FL01549,AP029
FL01550,AP001
