:ID(Flight),flight_number,aircraft_id,operator,origin,destination,scheduled_departure,scheduled_arrival
FL00044,SK789,AC1001,SkyWays,SLC,ORD,2024-07-09T17:38:04,2024-07-09T21:13:59
FL00045,SK642,AC1001,SkyWays,ORD,STL,2024-07-09T22:37:59,2024-07-09T23:44:57
FL00046,SK476,AC1001,SkyWays,STL,BOS,2024-07-10T08:01:55,2024-07-10T10:32:18
FL00047,SK526,AC1001,SkyWays,BOS,RDU,2024-07-10T12:02:18,2024-07-10T14:00:13
FL00048,SK604,AC1001,SkyWays,RDU,SFO,2024-07-10T15:21:13,2024-07-10T18:34:36
FL00049,SK361,AC1001,SkyWays,SFO,BWI,2024-07-10T19:46:36,2024-07-11T00:31:57
FL00050,SK104,AC1001,SkyWays,BWI,ATL,2024-07-11T01:22:57,2024-07-11T03:45:25
FL00051,SK225,AC1001,SkyWays,ATL,ORD,2024-07-11T07:13:51,2024-07-11T11:42:53
FL00052,SK597,AC1001,SkyWays,ORD,MIA,2024-07-11T12:29:53,2024-07-11T17:57:41
FL00053,SK777,AC1001,SkyWays,MIA,ORD,2024-07-11T18:52:41,2024-07-11T22:24:23
FL00054,SK860,AC1001,SkyWays,ORD,DFW,2024-07-11T23:28:23,2024-07-12T04:37:50
FL00055,SK858,AC1001,SkyWays,DFW,IAD,2024-07-12T05:59:50,2024-07-12T09:35:17
FL00056,SK806,AC1001,SkyWays,IAD,SLC,2024-07-12T08:23:27,2024-07-12T12:04:31
FL00057,SK475,AC1001,SkyWays,SLC,ABQ,2024-07-12T13:09:31,2024-07-12T16:09:46
FL00058,SK783,AC1001,SkyWays,ABQ,MCI,2024-07-12T17:23:46,2024-07-12T21:33:22
FL00059,SK430,AC1001,SkyWays,MCI,SJC,2024-07-13T08:43:45,2024-07-13T13:30:25
FL00060,SK915,AC1001,SkyWays,SJC,SLC,2024-07-13T14:37:25,2024-07-13T18:16:45
FL00061,SK299,AC1001,SkyWays,SLC,SEA,2024-07-13T19:32:45,2024-07-13T23:03:28
FL00062,SK396,AC1001,SkyWays,SEA,AUS,2024-07-13T23:48:28,2024-07-14T01:17:19
FL00063,SK261,AC1001,SkyWays,AUS,JFK,2024-07-14T02:46:19,2024-07-14T04:02:51
FL00064,SK201,AC1001,SkyWays,JFK,LAX,2024-07-14T04:50:51,2024-07-14T06:23:30
FL00065,SK100,AC1001,SkyWays,LAX,DFW,2024-07-14T07:23:40,2024-07-14T11:53:18
FL00066,SK823,AC1001,SkyWays,DFW,STL,2024-07-14T12:47:18,2024-07-14T16:22:43
FL00067,SK859,AC1001,SkyWays,STL,LAX,2024-07-14T17:36:43,2024-07-14T20:32:49
FL00068,SK402,AC1001,SkyWays,LAX,SEA,2024-07-14T21:17:49,2024-07-15T01:52:56
FL00069,SK804,AC1001,SkyWays,SEA,DCA,2024-07-15T03:13:56,2024-07-15T08:21:28
FL00070,SK836,AC1001,SkyWays,DCA,BOS,2024-07-15T09:38:28,2024-07-15T11:05:39
FL00071,SK135,AC1001,SkyWays,BOS,ORD,2024-07-15T08:47:55,2024-07-15T13:46:33
FL00072,SK337,AC1001,SkyWays,ORD,SEA,2024-07-15T14:35:33,2024-07-15T20:01:14
FL00073,SK379,AC1001,SkyWays,SEA,BOS,2024-07-15T21:06:14,2024-07-16T02:35:03
FL00074,SK389,AC1001,SkyWays,BOS,DEN,2024-07-16T03:28:03,2024-07-16T04:42:41
FL00075,SK735,AC1001,SkyWays,DEN,JFK,2024-07-16T08:56:35,2024-07-16T10:51:43
FL00076,SK133,AC1001,SkyWays,JFK,IAD,2024-07-16T11:56:43,2024-07-16T16:06:30
FL00077,SK363,AC1001,SkyWays,IAD,SFO,2024-07-16T17:02:30,2024-07-16T18:19:58
FL00078,SK911,AC1001,SkyWays,SFO,LAX,2024-07-16T19:18:58,2024-07-16T20:55:26
FL00079,SK393,AC1001,SkyWays,LAX,MIA,2024-07-17T07:09:05,2024-07-17T12:31:02
FL00080,SK384,AC1001,SkyWays,MIA,DFW,2024-07-17T13:36:02,2024-07-17T17:27:27
FL00081,SK384,AC1001,SkyWays,DFW,IND,2024-07-17T18:56:27,2024-07-18T00:20:28
FL00082,SK577,AC1001,SkyWays,IND,DCA,2024-07-18T01:37:28,2024-07-18T06:44:07
FL00083,SK345,AC1001,SkyWays,DCA,SFO,2024-07-18T07:29:07,2024-07-18T12:29:16
FL00084,SK329,AC1001,SkyWays,SFO,JFK,2024-07-18T13:47:16,2024-07-18T16:17:10
FL00085,SK518,AC1001,SkyWays,JFK,SFO,2024-07-18T06:53:23,2024-07-18T09:33:54
FL00086,SK474,AC1001,SkyWays,SFO,ABQ,2024-07-18T10:18:54,2024-07-18T12:52:48
FL00087,SK737,AC1001,SkyWays,ABQ,SFO,2024-07-18T13:37:48,2024-07-18T18:56:10
FL00088,SK916,AC1001,SkyWays,SFO,MSP,2024-07-18T19:43:10,2024-07-18T23:06:42
FL00089,SK789,AC1001,SkyWays,MSP,ORD,2024-07-18T23:56:42,2024-07-19T01:48:16
FL00090,SK277,AC1001,SkyWays,ORD,PHX,2024-07-19T03:17:16,2024-07-19T06:14:27
FL00091,SK541,AC1001,SkyWays,PHX,PIT,2024-07-19T07:47:24,2024-07-19T09:53:57
FL00092,SK189,AC1001,SkyWays,PIT,PHL,2024-07-19T10:59:57,2024-07-19T12:16:56
FL00093,SK471,AC1001,SkyWays,PHL,PIT,2024-07-19T13:38:56,2024-07-19T16:39:34
FL00094,SK168,AC1001,SkyWays,PIT,ATL,2024-07-19T17:57:34,2024-07-19T20:27:54
FL00095,SK883,AC1001,SkyWays,ATL,MIA,2024-07-19T21:23:54,2024-07-19T23:17:19
FL00096,SK167,AC1001,SkyWays,MIA,BOS,2024-07-20T00:23:19,2024-07-20T01:28:42
FL00097,SK526,AC1001,SkyWays,BOS,LAX,2024-07-20T08:03:47,2024-07-20T13:17:01
FL00098,SK427,AC1001,SkyWays,LAX,DEN,2024-07-20T14:27:01,2024-07-20T17:08:44
FL00099,SK230,AC1001,SkyWays,DEN,ATL,2024-07-20T18:14:44,2024-07-20T22:54:05
FL00100,SK140,AC1001,SkyWays,ATL,SJC,2024-07-20T23:55:05,2024-07-21T04:24:00
FL00101,SK209,AC1001,SkyWays,SJC,LAX,2024-07-21T05:41:00,2024-07-21T11:08:11
FL00102,SK553,AC1001,SkyWays,LAX,ORD,2024-07-21T12:37:11,2024-07-21T16:14:33
FL00103,SK667,AC1001,SkyWays,ORD,AUS,2024-07-21T06:44:19,2024-07-21T12:00:23
FL00104,SK222,AC1001,SkyWays,AUS,IAD,2024-07-21T13:26:23,2024-07-21T17:44:22
FL00105,SK715,AC1001,SkyWays,IAD,MIA,2024-07-21T18:54:22,2024-07-21T22:06:00
FL00106,SK706,AC1001,SkyWays,MIA,DEN,2024-07-21T22:52:00,2024-07-22T02:18:18
FL00107,SK620,AC1001,SkyWays,DEN,SFO,2024-07-22T03:03:18,2024-07-22T06:59:59
FL00108,SK134,AC1001,SkyWays,SFO,CLE,2024-07-22T06:50:52,2024-07-22T09:22:38
FL00109,SK447,AC1001,SkyWays,CLE,CLT,2024-07-22T10:14:38,2024-07-22T15:15:48
FL00110,SK630,AC1001,SkyWays,CLT,DFW,2024-07-22T16:45:48,2024-07-22T22:04:15
FL00111,SK704,AC1001,SkyWays,DFW,MIA,2024-07-22T23:31:15,2024-07-23T04:07:47
FL00112,SK528,AC1001,SkyWays,MIA,IAD,2024-07-23T06:17:29,2024-07-23T09:50:57
FL00113,SK540,AC1001,SkyWays,IAD,SJC,2024-07-23T10:45:57,2024-07-23T15:43:35
FL00114,SK217,AC1001,SkyWays,SJC,BWI,2024-07-23T16:55:35,2024-07-23T18:34:31
FL00115,SK928,AC1001,SkyWays,BWI,ORD,2024-07-24T07:11:22,2024-07-24T10:14:46
FL00116,SK369,AC1001,SkyWays,ORD,MSY,2024-07-24T11:31:46,2024-07-24T16:03:18
FL00117,SK967,AC1001,SkyWays,MSY,IAH,2024-07-24T17:32:18,2024-07-24T21:13:58
FL00118,SK841,AC1001,SkyWays,IAH,JFK,2024-07-24T22:07:58,2024-07-25T00:08:29
FL00119,SK992,AC1001,SkyWays,JFK,IAH,2024-07-25T07:15:06,2024-07-25T10:28:52
FL00120,SK746,AC1001,SkyWays,IAH,CLE,2024-07-25T11:44:52,2024-07-25T16:53:00
FL00121,SK340,AC1001,SkyWays,CLE,DEN,2024-07-25T18:17:00,2024-07-25T19:32:29
FL00122,SK764,AC1001,SkyWays,DEN,LAS,2024-07-25T20:53:29,2024-07-25T23:40:26
FL00123,SK823,AC1001,SkyWays,LAS,SFO,2024-07-26T00:58:26,2024-07-26T05:54:51
FL00124,SK331,AC1001,SkyWays,SFO,ORD,2024-07-26T08:22:58,2024-07-26T09:57:17
FL00125,SK196,AC1001,SkyWays,ORD,SMF,2024-07-26T11:17:17,2024-07-26T14:01:23
FL00126,SK987,AC1001,SkyWays,SMF,LAX,2024-07-26T15:12:23,2024-07-26T17:11:07
FL00127,SK506,AC1001,SkyWays,LAX,BOS,2024-07-26T18:19:07,2024-07-26T20:45:41
FL00128,SK630,AC1001,SkyWays,BOS,DEN,2024-07-27T07:43:47,2024-07-27T13:04:10
FL00129,SK643,AC1001,SkyWays,DEN,LAS,2024-07-27T13:58:10,2024-07-27T17:06:06
FL00130,SK276,AC1001,SkyWays,LAS,HNL,2024-07-27T18:25:06,2024-07-27T19:58:50
FL00131,SK780,AC1001,SkyWays,HNL,DTW,2024-07-27T21:07:50,2024-07-27T22:55:50
FL00132,SK345,AC1001,SkyWays,DTW,SEA,2024-07-28T08:51:20,2024-07-28T10:35:24
FL00133,SK448,AC1001,SkyWays,SEA,LAX,2024-07-28T11:35:24,2024-07-28T13:22:23
FL00134,SK870,AC1001,SkyWays,LAX,SLC,2024-07-28T14:20:23,2024-07-28T18:04:22
FL00135,SK674,AC1001,SkyWays,SLC,PDX,2024-07-28T19:10:22,2024-07-28T22:17:21
FL00136,SK964,AC1001,SkyWays,PDX,BNA,2024-07-29T08:42:54,2024-07-29T13:24:49
FL00137,SK127,AC1001,SkyWays,BNA,MIA,2024-07-29T14:38:49,2024-07-29T18:41:52
FL00138,SK118,AC1001,SkyWays,MIA,ATL,2024-07-29T20:02:52,2024-07-30T00:57:06
FL00139,SK895,AC1001,SkyWays,ATL,DEN,2024-07-30T02:18:06,2024-07-30T05:20:54
FL00140,SK813,AC1001,SkyWays,DEN,STL,2024-07-30T06:17:11,2024-07-30T10:10:40
FL00141,SK226,AC1001,SkyWays,STL,MEM,2024-07-30T11:06:40,2024-07-30T15:25:22
FL00142,SK579,AC1001,SkyWays,MEM,MCI,2024-07-30T16:37:22,2024-07-30T20:59:27
FL00143,SK755,AC1001,SkyWays,MCI,JFK,2024-07-30T22:24:27,2024-07-31T01:19:04
FL00144,SK239,AC1001,SkyWays,JFK,MIA,2024-07-31T02:20:04,2024-07-31T06:14:28
FL00145,SK664,AC1001,SkyWays,MIA,PIT,2024-07-31T06:14:18,2024-07-31T08:34:01
FL00146,SK186,AC1001,SkyWays,PIT,ORD,2024-07-31T09:54:01,2024-07-31T10:58:50
FL00147,SK735,AC1001,SkyWays,ORD,MIA,2024-07-31T12:11:50,2024-07-31T15:20:16
FL00148,SK245,AC1001,SkyWays,MIA,HNL,2024-08-01T06:33:54,2024-08-01T11:45:39
FL00149,SK468,AC1001,SkyWays,HNL,ORD,2024-08-01T13:09:39,2024-08-01T15:20:51
FL00150,SK566,AC1001,SkyWays,ORD,MIA,2024-08-01T16:36:51,2024-08-01T21:04:44
FL00151,SK268,AC1001,SkyWays,MIA,SEA,2024-08-01T22:12:44,2024-08-02T00:44:17
FL00152,SK638,AC1001,SkyWays,SEA,LAX,2024-08-02T06:33:36,2024-08-02T11:43:30
FL00153,SK643,AC1001,SkyWays,LAX,ATL,2024-08-02T12:30:30,2024-08-02T15:12:41
FL00154,SK994,AC1001,SkyWays,ATL,BOS,2024-08-02T16:31:41,2024-08-02T21:16:23
FL00155,SK392,AC1001,SkyWays,BOS,AUS,2024-08-02T22:02:23,2024-08-03T02:37:15
FL00156,SK890,AC1001,SkyWays,AUS,PDX,2024-08-03T04:06:15,2024-08-03T09:05:02
FL00157,SK690,AC1001,SkyWays,PDX,MIA,2024-08-03T07:20:28,2024-08-03T12:18:11
FL00158,SK448,AC1001,SkyWays,MIA,IAH,2024-08-03T13:18:11,2024-08-03T15:06:09
FL00159,SK417,AC1001,SkyWays,IAH,ABQ,2024-08-03T16:00:09,2024-08-03T21:12:16
FL00160,SK585,AC1001,SkyWays,ABQ,IAH,2024-08-03T22:23:16,2024-08-04T02:33:22
FL00161,SK760,AC1001,SkyWays,IAH,SEA,2024-08-04T03:36:22,2024-08-04T09:02:54
FL00162,SK544,AC1001,SkyWays,SEA,AUS,2024-08-04T07:33:34,2024-08-04T10:53:05
FL00163,SK835,AC1001,SkyWays,AUS,PIT,2024-08-04T11:52:05,2024-08-04T14:20:00
FL00164,SK238,AC1001,SkyWays,PIT,DEN,2024-08-04T15:45:00,2024-08-04T20:17:00
FL00165,SK335,AC1001,SkyWays,DEN,SFO,2024-08-05T08:08:13,2024-08-05T11:06:32
FL00166,SK733,AC1001,SkyWays,SFO,JAX,2024-08-05T12:12:32,2024-08-05T13:26:29
FL00167,SK240,AC1001,SkyWays,JAX,MIA,2024-08-05T14:24:29,2024-08-05T17:58:38
FL00168,SK676,AC1001,SkyWays,MIA,DEN,2024-08-06T08:39:00,2024-08-06T13:05:45
FL00169,SK824,AC1001,SkyWays,DEN,LAS,2024-08-06T14:21:45,2024-08-06T17:55:42
FL00170,SK913,AC1001,SkyWays,LAS,PDX,2024-08-06T19:20:42,2024-08-06T23:59:26
FL00171,SK361,AC1001,SkyWays,PDX,BNA,2024-08-07T00:45:26,2024-08-07T02:11:44
FL00172,SK427,AC1001,SkyWays,BNA,MSP,2024-08-07T03:22:44,2024-08-07T06:09:25
FL00173,SK885,AC1001,SkyWays,MSP,LAX,2024-08-07T07:15:25,2024-08-07T12:09:31
FL00174,SK923,AC1001,SkyWays,LAX,PHL,2024-08-07T07:20:09,2024-08-07T11:51:58
FL00175,SK627,AC1001,SkyWays,PHL,ATL,2024-08-07T13:21:58,2024-08-07T18:35:47
FL00176,SK595,AC1001,SkyWays,ATL,DEN,2024-08-07T19:31:47,2024-08-07T23:29:42
FL00177,SK808,AC1001,SkyWays,DEN,ATL,2024-08-08T00:55:42,2024-08-08T06:19:12
FL00178,SK231,AC1001,SkyWays,ATL,SEA,2024-08-08T07:29:12,2024-08-08T11:39:14
FL00179,SK453,AC1001,SkyWays,SEA,DFW,2024-08-08T12:57:14,2024-08-08T14:09:21
FL00180,SK362,AC1001,SkyWays,DFW,CLT,2024-08-08T06:11:30,2024-08-08T11:04:57
FL00181,SK791,AC1001,SkyWays,CLT,MEM,2024-08-08T12:03:57,2024-08-08T15:09:03
FL00182,SK839,AC1001,SkyWays,MEM,MIA,2024-08-08T16:24:03,2024-08-08T18:21:28
FL00183,SK442,AC1001,SkyWays,MIA,SFO,2024-08-08T19:14:28,2024-08-08T23:59:22
FL00184,SK171,AC1001,SkyWays,SFO,DEN,2024-08-09T01:14:22,2024-08-09T03:10:13
FL00185,SK744,AC1001,SkyWays,DEN,MIA,2024-08-09T06:46:13,2024-08-09T09:55:06
FL00186,SK907,AC1001,SkyWays,MIA,DFW,2024-08-09T11:20:06,2024-08-09T14:37:48
FL00187,SK592,AC1001,SkyWays,DFW,ABQ,2024-08-09T16:04:48,2024-08-09T19:45:49
FL00188,SK609,AC1001,SkyWays,ABQ,JAX,2024-08-10T08:39:43,2024-08-10T12:22:52
FL00189,SK867,AC1001,SkyWays,JAX,MIA,2024-08-10T13:24:52,2024-08-10T17:59:09
FL00190,SK533,AC1001,SkyWays,MIA,AUS,2024-08-10T19:02:09,2024-08-10T21:41:35
FL00191,SK323,AC1001,SkyWays,AUS,BNA,2024-08-10T22:41:35,2024-08-11T03:00:08
FL00192,SK471,AC1001,SkyWays,BNA,SFO,2024-08-11T04:21:08,2024-08-11T06:00:07
FL00193,SK601,AC1001,SkyWays,SFO,SAN,2024-08-11T07:13:07,2024-08-11T12:13:16
FL00194,SK805,AC1001,SkyWays,SAN,PHL,2024-08-11T08:14:18,2024-08-11T10:01:46
FL00195,SK867,AC1001,SkyWays,PHL,ATL,2024-08-11T11:10:46,2024-08-11T15:26:48
FL00196,SK366,AC1001,SkyWays,ATL,DFW,2024-08-11T16:15:48,2024-08-11T18:58:06
FL00197,SK889,AC1001,SkyWays,DFW,LAS,2024-08-12T07:58:07,2024-08-12T10:01:59
FL00198,SK441,AC1001,SkyWays,LAS,IND,2024-08-12T10:57:59,2024-08-12T16:05:27
FL00199,SK880,AC1001,SkyWays,IND,ATL,2024-08-12T17:09:27,2024-08-12T20:46:04
FL00200,SK510,AC1001,SkyWays,ATL,CLE,2024-08-12T22:09:04,2024-08-13T00:55:15
FL00201,SK155,AC1001,SkyWays,CLE,SMF,2024-08-13T06:26:07,2024-08-13T11:00:06
FL00202,SK622,AC1001,SkyWays,SMF,SFO,2024-08-13T11:49:06,2024-08-13T13:04:21
FL00203,SK407,AC1001,SkyWays,SFO,CLE,2024-08-13T14:34:21,2024-08-13T15:49:19
FL00204,SK769,AC1001,SkyWays,CLE,LAX,2024-08-13T17:06:19,2024-08-13T19:01:32
FL00205,SK587,AC1001,SkyWays,LAX,PIT,2024-08-13T19:58:32,2024-08-14T00:04:15
FL00206,SK473,AC1001,SkyWays,PIT,PDX,2024-08-14T01:31:15,2024-08-14T05:14:25
FL00207,SK657,AC1001,SkyWays,PDX,MSP,2024-08-14T08:17:46,2024-08-14T11:54:34
FL00208,SK469,AC1001,SkyWays,MSP,MIA,2024-08-14T13:08:34,2024-08-14T14:25:05
FL00209,SK585,AC1001,SkyWays,MIA,DTW,2024-08-14T15:47:05,2024-08-14T20:15:04
FL00210,SK198,AC1001,SkyWays,DTW,SFO,2024-08-14T21:38:04,2024-08-15T02:04:47
FL00211,SK772,AC1001,SkyWays,SFO,MEM,2024-08-15T08:55:18,2024-08-15T09:57:52
FL00212,SK685,AC1001,SkyWays,MEM,MKE,2024-08-15T10:55:52,2024-08-15T13:41:27
FL00213,SK876,AC1001,SkyWays,MKE,ORD,2024-08-15T14:27:27,2024-08-15T16:34:53
FL00214,SK593,AC1001,SkyWays,ORD,DEN,2024-08-15T17:53:53,2024-08-15T20:31:00
FL00215,SK839,AC1001,SkyWays,DEN,PHL,2024-08-16T06:31:06,2024-08-16T09:12:11
FL00216,SK782,AC1001,SkyWays,PHL,SAN,2024-08-16T10:23:11,2024-08-16T13:30:52
FL00217,SK258,AC1001,SkyWays,SAN,DEN,2024-08-16T14:38:52,2024-08-16T18:20:53
FL00218,SK784,AC1001,SkyWays,DEN,PHX,2024-08-16T19:49:53,2024-08-16T23:20:06
FL00219,SK886,AC1001,SkyWays,PHX,JFK,2024-08-17T00:17:06,2024-08-17T04:17:10
FL00220,SK974,AC1001,SkyWays,JFK,SFO,2024-08-17T08:23:31,2024-08-17T10:02:19
FL00221,SK298,AC1001,SkyWays,SFO,BOS,2024-08-17T11:26:19,2024-08-17T14:07:27
FL00222,SK260,AC1001,SkyWays,BOS,TPA,2024-08-17T15:30:27,2024-08-17T17:51:33
FL00223,SK372,AC1001,SkyWays,TPA,DEN,2024-08-17T19:18:33,2024-08-17T23:37:40
FL00224,SK632,AC1001,SkyWays,DEN,MIA,2024-08-18T06:57:46,2024-08-18T08:38:30
FL00225,SK150,AC1001,SkyWays,MIA,MEM,2024-08-18T09:58:30,2024-08-18T14:14:31
FL00226,SK512,AC1001,SkyWays,MEM,SMF,2024-08-18T15:02:31,2024-08-18T18:12:10
FL00227,SK446,AC1001,SkyWays,SMF,DCA,2024-08-18T19:19:10,2024-08-18T23:40:54
FL00228,SK211,AC1001,SkyWays,DCA,JFK,2024-08-19T01:06:54,2024-08-19T04:29:57
FL00229,SK359,AC1001,SkyWays,JFK,BOS,2024-08-19T07:27:34,2024-08-19T12:48:26
FL00230,SK930,AC1001,SkyWays,BOS,DTW,2024-08-19T13:38:26,2024-08-19T16:39:00
FL00231,SK949,AC1001,SkyWays,DTW,MEM,2024-08-19T17:59:00,2024-08-19T20:40:46
FL00232,SK348,AC1001,SkyWays,MEM,DEN,2024-08-19T22:05:46,2024-08-20T02:31:43
FL00233,SK383,AC1001,SkyWays,DEN,ATL,2024-08-20T03:30:43,2024-08-20T06:30:40
FL00234,SK591,AC1001,SkyWays,ATL,MKE,2024-08-20T07:41:40,2024-08-20T09:35:17
FL00235,SK274,AC1001,SkyWays,MKE,SMF,2024-08-20T08:22:46,2024-08-20T11:18:59
FL00236,SK285,AC1001,SkyWays,SMF,SJC,2024-08-20T12:42:59,2024-08-20T15:16:07
FL00237,SK420,AC1001,SkyWays,SJC,MIA,2024-08-20T16:41:07,2024-08-20T18:58:57
FL00238,SK748,AC1001,SkyWays,MIA,ATL,2024-08-20T20:21:57,2024-08-20T22:48:13
FL00239,SK537,AC1001,SkyWays,ATL,PIT,2024-08-21T07:52:22,2024-08-21T11:45:36
FL00240,SK519,AC1001,SkyWays,PIT,MIA,2024-08-21T13:07:36,2024-08-21T15:11:23
FL00241,SK424,AC1001,SkyWays,MIA,BOS,2024-08-21T16:32:23,2024-08-21T20:52:35
FL00242,SK337,AC1001,SkyWays,BOS,ATL,2024-08-22T07:19:02,2024-08-22T12:42:49
FL00243,SK641,AC1001,SkyWays,ATL,DFW,2024-08-22T13:50:49,2024-08-22T16:49:57
FL00244,SK865,AC1001,SkyWays,DFW,MIA,2024-08-22T18:07:57,2024-08-22T20:28:47
FL00245,SK350,AC1001,SkyWays,MIA,PIT,2024-08-23T08:42:34,2024-08-23T11:44:47
FL00246,SK911,AC1001,SkyWays,PIT,JAX,2024-08-23T12:45:47,2024-08-23T14:57:03
FL00247,SK964,AC1001,SkyWays,JAX,LAX,2024-08-23T16:06:03,2024-08-23T19:03:32
FL00248,SK588,AC1001,SkyWays,LAX,SFO,2024-08-23T19:59:32,2024-08-23T22:07:18
FL00249,SK245,AC1001,SkyWays,SFO,MIA,2024-08-23T23:07:18,2024-08-24T00:49:55
FL00250,SK735,AC1001,SkyWays,MIA,MCI,2024-08-24T07:09:01,2024-08-24T11:41:05
FL00251,SK706,AC1001,SkyWays,MCI,MIA,2024-08-24T12:59:05,2024-08-24T15:39:53
FL00252,SK848,AC1001,SkyWays,MIA,CLE,2024-08-24T16:58:53,2024-08-24T18:58:32
FL00253,SK393,AC1001,SkyWays,CLE,DEN,2024-08-24T19:46:32,2024-08-24T20:49:52
FL00254,SK663,AC1001,SkyWays,DEN,MIA,2024-08-24T21:41:52,2024-08-25T00:24:24
FL00255,SK410,AC1001,SkyWays,MIA,LAX,2024-08-25T08:11:17,2024-08-25T10:11:47
FL00256,SK857,AC1001,SkyWays,LAX,SEA,2024-08-25T11:14:47,2024-08-25T16:06:55
FL00257,SK339,AC1001,SkyWays,SEA,MKE,2024-08-25T16:57:55,2024-08-25T18:48:48
