:ID(Delay),cause,minutes
DLY00079,Maintenance,174
DLY00080,NAS,18
DLY00081,Carrier,13
DLY00082,NAS,50
DLY00083,Maintenance,82
DLY00084,Maintenance,110
DLY00085,Maintenance,188
DLY00086,NAS,86
DLY00087,Carrier,37
DLY00088,Carrier,28
DLY00089,Maintenance,69
DLY00090,NAS,69
DLY00091,Maintenance,181
DLY00092,Maintenance,107
DLY00093,Weather,109
DLY00094,Weather,46
DLY00095,NAS,88
DLY00096,Maintenance,79
DLY00097,Maintenance,102
DLY00098,Weather,120
DLY00099,NAS,77
DLY00100,Maintenance,145
DLY00101,Weather,51
DLY00102,Weather,73
DLY00103,Maintenance,200
DLY00104,Weather,172
DLY00105,Maintenance,76
DLY00106,Carrier,37
DLY00107,Maintenance,152
DLY00108,Weather,177
DLY00109,Carrier,43
DLY00110,NAS,65
DLY00111,Weather,77
DLY00112,Weather,104
DLY00113,NAS,37
DLY00114,NAS,52
DLY00115,Carrier,41
DLY00116,Weather,118
DLY00117,Maintenance,69
DLY00118,Carrier,31
DLY00119,Maintenance,41
DLY00120,Weather,72
DLY00121,Carrier,39
DLY00122,Weather,52
DLY00123,Carrier,30
DLY00124,Weather,101
DLY00125,Carrier,38
DLY00126,Maintenance,101
DLY00127,Carrier,30
DLY00128,NAS,33
DLY00129,Weather,40
DLY00130,Carrier,48
DLY00131,Weather,128
DLY00132,Maintenance,113
DLY00133,Maintenance,232
DLY00134,Weather,77
DLY00135,Maintenance,227
DLY00136,Weather,164
DLY00137,Maintenance,131
DLY00138,NAS,36
DLY00139,Carrier,57
DLY00140,NAS,30
DLY00141,Weather,104
DLY00142,Weather,137
DLY00143,NAS,78
DLY00144,Maintenance,209
DLY00145,Carrier,56
DLY00146,Weather,143
DLY00147,NAS,57
DLY00148,Carrier,55
DLY00149,Weather,169
DLY00150,Weather,81
DLY00151,NAS,21
DLY00152,Carrier,35
DLY00153,NAS,38
DLY00154,Maintenance,164
DLY00155,NAS,30
DLY00156,Weather,21
DLY00157,Weather,79
DLY00158,NAS,86
DLY00159,Weather,84
DLY00160,Maintenance,142
DLY00161,Carrier,37
DLY00162,Carrier,15
DLY00163,Weather,46
DLY00164,Weather,68
DLY00165,Weather,142
DLY00166,Maintenance,114
DLY00167,Carrier,20
DLY00168,Maintenance,113
DLY00169,Carrier,50
DLY00170,NAS,21
DLY00171,NAS,46
DLY00172,NAS,70
DLY00173,Carrier,12
DLY00174,NAS,64
DLY00175,Maintenance,102
DLY00176,Weather,133
DLY00177,Maintenance,114
DLY00178,Maintenance,35
DLY00179,Carrier,59
DLY00180,Carrier,16
DLY00181,Maintenance,123
DLY00182,Maintenance,200
DLY00183,Weather,81
DLY00184,NAS,35
DLY00185,Carrier,29
DLY00186,Weather,99
DLY00187,Maintenance,233
DLY00188,Maintenance,193
DLY00189,Weather,57
DLY00190,Maintenance,144
DLY00191,Carrier,58
DLY00192,Carrier,10
DLY00193,NAS,18
DLY00194,Carrier,17
DLY00195,Weather,114
DLY00196,Maintenance,124
DLY00197,Carrier,58
DLY00198,NAS,58
DLY00199,NAS,31
DLY00200,NAS,79
DLY00201,Carrier,26
DLY00202,Maintenance,103
DLY00203,NAS,89
DLY00204,Weather,129
DLY00205,Carrier,29
DLY00206,Weather,130
DLY00207,Weather,161
DLY00208,Carrier,12
DLY00209,Carrier,57
DLY00210,NAS,56
DLY00211,Maintenance,232
DLY00212,Maintenance,188
DLY00213,Maintenance,172
DLY00214,NAS,36
DLY00215,Weather,157
DLY00216,Weather,92
DLY00217,Weather,37
DLY00218,Maintenance,55
DLY00219,Weather,73
DLY00220,Carrier,24
DLY00221,Carrier,33
DLY00222,Weather,172
DLY00223,Carrier,45
DLY00224,Weather,117
DLY00225,NAS,25
DLY00226,Maintenance,141
DLY00227,Weather,65
DLY00228,Carrier,52
DLY00229,Maintenance,233
DLY00230,Weather,162
DLY00231,Maintenance,170
DLY00232,NAS,26
DLY00233,Maintenance,232
DLY00234,Weather,104
DLY00235,NAS,37
DLY00236,Weather,36
DLY00237,Carrier,10
DLY00238,Weather,87
DLY00239,NAS,21
DLY00240,Weather,146
DLY00241,NAS,29
DLY00242,Maintenance,139
DLY00243,NAS,35
DLY00244,Weather,123
DLY00245,Weather,35
DLY00246,Weather,132
DLY00247,NAS,59
DLY00248,Carrier,13
DLY00249,Maintenance,66
DLY00250,Weather,160
DLY00251,Carrier,25
DLY00252,Weather,176
DLY00253,Weather,32
DLY00254,NAS,56
DLY00255,Weather,144
DLY00256,Maintenance,65
DLY00257,Carrier,45
DLY00258,Weather,179
DLY00259,Weather,43
DLY00260,NAS,63
DLY00261,Carrier,53
DLY00262,Weather,125
DLY00263,Carrier,17
DLY00264,Weather,130
DLY00265,NAS,25
DLY00266,Weather,95
DLY00267,Weather,21
DLY00268,Maintenance,137
DLY00269,Carrier,22
DLY00270,Maintenance,205
DLY00271,Carrier,41
DLY00272,Maintenance,207
DLY00273,Weather,37
DLY00274,Carrier,48
DLY00275,Weather,127
DLY00276,Carrier,41
DLY00277,Weather,155
DLY00278,NAS,55
DLY00279,NAS,66
DLY00280,Maintenance,64
DLY00281,Weather,100
DLY00282,Weather,157
DLY00283,NAS,47
DLY00284,Maintenance,194
DLY00285,Carrier,55
DLY00286,Weather,113
DLY00287,Weather,119
DLY00288,NAS,19
DLY00289,Weather,141
DLY00290,NAS,38
DLY00291,Carrier,20
DLY00292,NAS,66
DLY00293,Weather,28
DLY00294,NAS,58
DLY00295,Weather,125
DLY00296,Maintenance,219
DLY00297,Maintenance,232
DLY00298,Carrier,18
DLY00299,NAS,44
DLY00300,Weather,178
DLY00301,Maintenance,184
DLY00302,Carrier,54
DLY00303,Weather,120
DLY00304,Weather,27
DLY00305,Weather,75
DLY00306,NAS,82
DLY00307,NAS,35
DLY00308,NAS,88
DLY00309,Weather,134
DLY00310,Maintenance,42
DLY00311,Weather,146
DLY00312,NAS,47
DLY00313,NAS,63
DLY00314,NAS,84
DLY00315,Weather,115
DLY00316,Weather,96
DLY00317,Carrier,10
DLY00318,NAS,77
DLY00319,NAS,63
DLY00320,Maintenance,147
DLY00321,Maintenance,187
DLY00322,Maintenance,236
DLY00323,Weather,59
DLY00324,NAS,67
DLY00325,Maintenance,107
DLY00326,Maintenance,72
DLY00327,Weather,57
DLY00328,Carrier,60
DLY00329,Carrier,57
DLY00330,Carrier,45
DLY00331,NAS,64
DLY00332,Weather,23
DLY00333,Weather,39
DLY00334,Maintenance,179
DLY00335,Weather,63
DLY00336,NAS,86
DLY00337,Carrier,55
DLY00338,NAS,43
DLY00339,Maintenance,221
DLY00340,Weather,74
DLY00341,Carrier,20
DLY00342,Maintenance,38
DLY00343,NAS,15
DLY00344,Maintenance,66
DLY00345,Carrier,55
DLY00346,Carrier,46
DLY00347,Maintenance,81
DLY00348,Carrier,31
DLY00349,NAS,43
DLY00350,Maintenance,122
DLY00351,Weather,120
DLY00352,Weather,114
DLY00353,Weather,173
DLY00354,NAS,29
DLY00355,Carrier,47
DLY00356,NAS,80
DLY00357,Weather,56
DLY00358,Maintenance,65
DLY00359,NAS,18
DLY00360,Maintenance,97
DLY00361,Weather,21
DLY00362,Weather,134
DLY00363,Weather,72
DLY00364,Carrier,46
DLY00365,Maintenance,190
DLY00366,NAS,30
DLY00367,NAS,82
DLY00368,Carrier,17
DLY00369,NAS,55
DLY00370,NAS,20
DLY00371,Weather,31
DLY00372,Weather,108
DLY00373,Weather,121
DLY00374,Carrier,18
DLY00375,Maintenance,73
DLY00376,NAS,26
DLY00377,NAS,67
DLY00378,NAS,77
DLY00379,Maintenance,183
DLY00380,Maintenance,49
DLY00381,Maintenance,162
DLY00382,Maintenance,191
DLY00383,Carrier,22
DLY00384,Maintenance,134
DLY00385,NAS,89
DLY00386,Maintenance,170
DLY00387,Maintenance,153
DLY00388,NAS,58
DLY00389,Maintenance,162
DLY00390,Weather,125
DLY00391,NAS,18
DLY00392,NAS,85
DLY00393,Weather,97
DLY00394,Carrier,55
DLY00395,Weather,122
DLY00396,Carrier,27
DLY00397,NAS,81
DLY00398,NAS,56
DLY00399,Maintenance,73
DLY00400,Carrier,50
DLY00401,NAS,76
DLY00402,Carrier,60
DLY00403,Weather,164
DLY00404,Weather,65
DLY00405,Weather,26
DLY00406,Maintenance,36
DLY00407,Weather,63
DLY00408,Maintenance,99
DLY00409,Carrier,55
DLY00410,Maintenance,192
DLY00411,NAS,50
DLY00412,NAS,80
DLY00413,Maintenance,83
DLY00414,NAS,20
DLY00415,Weather,177
DLY00416,Weather,50
DLY00417,NAS,36
DLY00418,NAS,25
DLY00419,Carrier,42
DLY00420,Maintenance,221
DLY00421,NAS,47
DLY00422,Maintenance,168
DLY00423,Weather,70
DLY00424,Carrier,43
DLY00425,Weather,35
DLY00426,Weather,21
DLY00427,Maintenance,165
DLY00428,Weather,33
DLY00429,Weather,123
DLY00430,NAS,64
DLY00431,NAS,68
DLY00432,Carrier,42
DLY00433,Carrier,50
DLY00434,NAS,51
DLY00435,Maintenance,216
DLY00436,NAS,86
DLY00437,NAS,71
DLY00438,Carrier,38
DLY00439,Carrier,60
DLY00440,Weather,137
DLY00441,Carrier,10
DLY00442,Maintenance,198
DLY00443,Maintenance,54
DLY00444,Weather,160
DLY00445,Weather,22
DLY00446,Maintenance,171
DLY00447,Carrier,39
DLY00448,NAS,74
DLY00449,NAS,84
DLY00450,NAS,44
DLY00451,NAS,53
DLY00452,Weather,64
DLY00453,NAS,56
DLY00454,Weather,100
DLY00455,Maintenance,160
DLY00456,Weather,30
DLY00457,NAS,61
DLY00458,NAS,28
DLY00459,Weather,87
DLY00460,Weather,126
DLY00461,NAS,76
DLY00462,Maintenance,50
DLY00463,NAS,68
DLY00464,Carrier,11
DLY00465,Carrier,44
DLY00466,Weather,86
DLY00467,Maintenance,44
DLY00468,Weather,73
DLY00469,Maintenance,75
DLY00470,Weather,58
DLY00471,NAS,46
DLY00472,Weather,101
DLY00473,Weather,155
DLY00474,Maintenance,222
DLY00475,Maintenance,121
DLY00476,NAS,86
DLY00477,Maintenance,147
DLY00478,Maintenance,130
DLY00479,Weather,46
DLY00480,NAS,26
DLY00481,Maintenance,184
DLY00482,Weather,152
DLY00483,Weather,90
DLY00484,Weather,82
DLY00485,Maintenance,182
DLY00486,Maintenance,37
DLY00487,NAS,27
DLY00488,Maintenance,70
DLY00489,NAS,48
DLY00490,Carrier,20
DLY00491,Maintenance,47
DLY00492,Carrier,35
DLY00493,Maintenance,218
DLY00494,Carrier,28
DLY00495,Carrier,28
DLY00496,Weather,90
DLY00497,Weather,107
DLY00498,Weather,131
DLY00499,Maintenance,112
DLY00500,NAS,44
DLY00501,NAS,47
DLY00502,NAS,20
DLY00503,Weather,83
DLY00504,NAS,68
DLY00505,Weather,32
DLY00506,Weather,23
DLY00507,Carrier,29
DLY00508,Maintenance,194
DLY00509,NAS,19
DLY00510,Carrier,41
DLY00511,Maintenance,51
DLY00512,NAS,74
DLY00513,Maintenance,229
DLY00514,NAS,23
DLY00515,Weather,166
DLY00516,Maintenance,233
DLY00517,Carrier,41
DLY00518,Carrier,37
DLY00519,NAS,43
DLY00520,NAS,34
DLY00521,NAS,39
DLY00522,Weather,91
DLY00523,Carrier,35
DLY00524,Maintenance,36
DLY00525,Carrier,40
DLY00526,Maintenance,99
DLY00527,Carrier,38
DLY00528,NAS,83
DLY00529,Maintenance,126
DLY00530,Weather,99
DLY00531,Maintenance,196
DLY00532,Weather,100
DLY00533,Weather,174
DLY00534,Carrier,54
DLY00535,NAS,60
DLY00536,Maintenance,198
DLY00537,Weather,75
DLY00538,Maintenance,150
DLY00539,Carrier,60
DLY00540,NAS,76
DLY00541,Weather,150
DLY00542,NAS,64
DLY00543,Carrier,30
DLY00544,NAS,59
DLY00545,Weather,105
DLY00546,NAS,41
DLY00547,NAS,89
DLY00548,Carrier,31
DLY00549,Weather,84
DLY00550,Weather,38
DLY00551,Weather,59
DLY00552,Weather,53
DLY00553,NAS,19
DLY00554,NAS,24
DLY00555,Weather,73
DLY00556,Weather,63
DLY00557,NAS,49
DLY00558,Maintenance,115
DLY00559,Maintenance,225
DLY00560,Carrier,27
DLY00561,Maintenance,141
DLY00562,NAS,53
DLY00563,Maintenance,146
DLY00564,Carrier,41
DLY00565,NAS,48
DLY00566,Maintenance,134
DLY00567,Weather,144
DLY00568,Weather,109
DLY00569,Maintenance,231
DLY00570,Weather,166
DLY00571,Weather,47
DLY00572,Weather,115
DLY00573,Carrier,11
DLY00574,Weather,125
DLY00575,Carrier,21
DLY00576,NAS,20
DLY00577,NAS,19
DLY00578,Weather,72
DLY00579,Weather,76
DLY00580,Carrier,55
DLY00581,NAS,69
DLY00582,NAS,68
DLY00583,Maintenance,73
DLY00584,Maintenance,222
DLY00585,Carrier,46
DLY00586,Weather,113
DLY00587,Maintenance,215
DLY00588,Maintenance,96
DLY00589,Maintenance,119
DLY00590,Weather,128
DLY00591,Carrier,18
DLY00592,Weather,90
DLY00593,Carrier,53
DLY00594,Maintenance,55
DLY00595,Maintenance,36
DLY00596,Weather,129
DLY00597,Maintenance,49
DLY00598,Carrier,47
DLY00599,Maintenance,107
DLY00600,Carrier,30
DLY00601,Maintenance,141
DLY00602,Weather,77
DLY00603,Weather,130
DLY00604,NAS,84
DLY00605,Weather,73
DLY00606,Carrier,55
DLY00607,Weather,58
DLY00608,NAS,18
DLY00609,Maintenance,202
DLY00610,NAS,47
DLY00611,Maintenance,220
DLY00612,NAS,73
DLY00613,Weather,155
DLY00614,Weather,26
DLY00615,Maintenance,177
DLY00616,Carrier,60
DLY00617,Maintenance,181
DLY00618,Weather,148
DLY00619,Maintenance,118
DLY00620,NAS,39
DLY00621,Maintenance,177
DLY00622,Carrier,40
DLY00623,Weather,33
DLY00624,Carrier,58
DLY00625,Weather,34
DLY00626,NAS,35
DLY00627,NAS,31
DLY00628,Carrier,37
DLY00629,NAS,49
DLY00630,Maintenance,105
DLY00631,Maintenance,55
DLY00632,Weather,173
DLY00633,Maintenance,175
DLY00634,NAS,75
DLY00635,Maintenance,224
DLY00636,Maintenance,224
DLY00637,NAS,37
DLY00638,Weather,92
DLY00639,Weather,35
DLY00640,Carrier,15
DLY00641,Maintenance,145
DLY00642,Weather,175
DLY00643,Carrier,47
DLY00644,Carrier,52
DLY00645,Weather,47
DLY00646,Weather,87
DLY00647,Maintenance,235
DLY00648,Weather,150
DLY00649,Carrier,40
DLY00650,NAS,78
DLY00651,NAS,38
DLY00652,Maintenance,71
DLY00653,Weather,107
DLY00654,Weather,170
DLY00655,Weather,32
DLY00656,NAS,19
DLY00657,NAS,15
DLY00658,NAS,18
DLY00659,Weather,25
DLY00660,NAS,24
DLY00661,Weather,132
DLY00662,Carrier,46
DLY00663,Maintenance,182
DLY00664,Carrier,37
DLY00665,Maintenance,208
DLY00666,Maintenance,43
DLY00667,Carrier,42
DLY00668,Maintenance,117
DLY00669,Weather,101
DLY00670,NAS,48
DLY00671,Maintenance,170
DLY00672,Maintenance,72
DLY00673,NAS,28
DLY00674,Weather,174
DLY00675,Maintenance,195
DLY00676,NAS,17
DLY00677,NAS,82
DLY00678,NAS,68
DLY00679,Maintenance,42
DLY00680,Maintenance,63
DLY00681,Weather,25
DLY00682,Weather,121
DLY00683,Weather,29
DLY00684,Maintenance,148
DLY00685,Carrier,17
DLY00686,Weather,58
DLY00687,Maintenance,57
DLY00688,NAS,81
DLY00689,Weather,53
DLY00690,Carrier,29
DLY00691,NAS,78
DLY00692,Weather,102
DLY00693,Carrier,50
DLY00694,NAS,18
DLY00695,Carrier,22
DLY00696,Weather,105
DLY00697,Weather,139
DLY00698,Weather,89
DLY00699,NAS,23
DLY00700,Weather,29
DLY00701,Maintenance,131
DLY00702,NAS,37
DLY00703,Maintenance,50
DLY00704,NAS,84
DLY00705,Maintenance,198
DLY00706,Carrier,18
DLY00707,NAS,58
DLY00708,NAS,19
DLY00709,Maintenance,91
DLY00710,Carrier,57
DLY00711,Weather,162
DLY00712,NAS,80
DLY00713,Weather,143
DLY00714,Weather,59
DLY00715,NAS,75
DLY00716,Maintenance,193
DLY00717,NAS,31
DLY00718,Carrier,25
DLY00719,Carrier,11
DLY00720,Carrier,36
DLY00721,NAS,63
DLY00722,Weather,32
DLY00723,NAS,64
DLY00724,NAS,33
DLY00725,Maintenance,54
DLY00726,Weather,123
DLY00727,Weather,145
DLY00728,Maintenance,198
DLY00729,Maintenance,138
DLY00730,NAS,67
DLY00731,Weather,105
DLY00732,NAS,69
DLY00733,Maintenance,155
DLY00734,Weather,104
DLY00735,Weather,109
DLY00736,NAS,63
DLY00737,Maintenance,174
DLY00738,Maintenance,72
DLY00739,Maintenance,147
DLY00740,Maintenance,157
DLY00741,Carrier,38
DLY00742,Carrier,53
DLY00743,Carrier,22
DLY00744,NAS,70
DLY00745,Carrier,15
DLY00746,NAS,67
DLY00747,Weather,164
DLY00748,Carrier,58
DLY00749,NAS,88
DLY00750,NAS,19
DLY00751,Maintenance,153
DLY00752,Carrier,41
DLY00753,NAS,26
DLY00754,NAS,50
DLY00755,Maintenance,138
DLY00756,Maintenance,208
DLY00757,Weather,171
DLY00758,Maintenance,143
DLY00759,Carrier,24
DLY00760,Carrier,28
DLY00761,NAS,84
DLY00762,Maintenance,133
DLY00763,Carrier,17
DLY00764,Weather,115
DLY00765,Maintenance,30
DLY00766,Maintenance,227
DLY00767,Maintenance,215
DLY00768,Carrier,37
DLY00769,Weather,174
DLY00770,Carrier,59
DLY00771,NAS,71
DLY00772,NAS,45
DLY00773,Weather,113
DLY00774,NAS,75
DLY00775,Weather,55
DLY00776,NAS,60
DLY00777,Weather,148
DLY00778,Carrier,28
DLY00779,Carrier,25
DLY00780,Maintenance,123
DLY00781,Weather,157
DLY00782,Weather,144
DLY00783,Maintenance,78
DLY00784,Maintenance,47
DLY00785,NAS,45
DLY00786,NAS,60
DLY00787,Maintenance,57
DLY00788,Maintenance,125
DLY00789,NAS,77
DLY00790,NAS,87
DLY00791,Maintenance,230
DLY00792,NAS,83
DLY00793,Maintenance,226
DLY00794,Carrier,45
DLY00795,Carrier,13
DLY00796,Carrier,33
DLY00797,NAS,57
DLY00798,Carrier,41
DLY00799,Maintenance,98
DLY00800,Weather,133
DLY00801,Maintenance,177
DLY00802,Maintenance,144
DLY00803,NAS,68
DLY00804,Maintenance,115
DLY00805,Weather,53
DLY00806,Weather,129
DLY00807,Carrier,34
DLY00808,NAS,53
DLY00809,Carrier,43
DLY00810,NAS,79
DLY00811,Maintenance,101
DLY00812,NAS,69
DLY00813,Carrier,43
DLY00814,Maintenance,73
DLY00815,Weather,146
DLY00816,Weather,73
DLY00817,Weather,164
DLY00818,Weather,108
DLY00819,Maintenance,45
DLY00820,Maintenance,32
DLY00821,Carrier,34
DLY00822,Maintenance,109
DLY00823,Maintenance,103
DLY00824,Carrier,22
DLY00825,Carrier,45
DLY00826,Carrier,30
DLY00827,Maintenance,56
DLY00828,Maintenance,146
DLY00829,NAS,46
DLY00830,NAS,48
DLY00831,NAS,51
DLY00832,NAS,82
DLY00833,Carrier,31
DLY00834,Weather,111
DLY00835,Weather,39
DLY00836,NAS,61
DLY00837,Weather,54
DLY00838,NAS,49
DLY00839,NAS,41
DLY00840,NAS,46
DLY00841,Carrier,45
DLY00842,Carrier,23
DLY00843,NAS,25
DLY00844,Carrier,43
DLY00845,Weather,62
DLY00846,Maintenance,220
DLY00847,NAS,66
DLY00848,Maintenance,142
DLY00849,Weather,104
DLY00850,Weather,90
DLY00851,NAS,89
DLY00852,NAS,45
DLY00853,NAS,66
DLY00854,Maintenance,145
DLY00855,Carrier,18
DLY00856,NAS,32
DLY00857,NAS,70
DLY00858,Maintenance,226
DLY00859,NAS,74
DLY00860,Carrier,16
DLY00861,Maintenance,64
DLY00862,Maintenance,166
DLY00863,Maintenance,118
DLY00864,Maintenance,39
DLY00865,Weather,67
DLY00866,Carrier,22
DLY00867,Weather,97
DLY00868,Weather,99
DLY00869,Maintenance,137
DLY00870,Weather,54
DLY00871,Carrier,32
DLY00872,NAS,78
DLY00873,Carrier,42
DLY00874,Maintenance,66
DLY00875,Weather,46
DLY00876,Maintenance,77
DLY00877,Weather,144
DLY00878,Carrier,52
DLY00879,NAS,27
DLY00880,Carrier,36
DLY00881,NAS,16
DLY00882,Weather,34
DLY00883,Weather,31
DLY00884,Maintenance,116
DLY00885,Weather,162
DLY00886,Maintenance,142
DLY00887,Weather,21
DLY00888,Carrier,54
DLY00889,Weather,136
DLY00890,Weather,63
DLY00891,Carrier,26
DLY00892,Weather,124
DLY00893,Weather,145
DLY00894,Maintenance,233
DLY00895,Maintenance,162
DLY00896,Maintenance,240
DLY00897,Weather,45
DLY00898,NAS,46
DLY00899,Weather,163
DLY00900,NAS,71
DLY00901,Maintenance,106
DLY00902,Weather,135
DLY00903,Maintenance,45
DLY00904,Weather,119
DLY00905,Maintenance,233
DLY00906,Maintenance,226
DLY00907,Maintenance,130
DLY00908,Weather,179
DLY00909,Carrier,43
DLY00910,Carrier,33
DLY00911,Maintenance,129
DLY00912,Maintenance,131
DLY00913,NAS,17
DLY00914,Maintenance,138
DLY00915,Maintenance,50
DLY00916,Weather,171
DLY00917,Maintenance,238
DLY00918,Carrier,38
DLY00919,Maintenance,204
DLY00920,Maintenance,55
DLY00921,Maintenance,71
DLY00922,Maintenance,150
DLY00923,Weather,156
DLY00924,Weather,166
DLY00925,Carrier,55
DLY00926,Carrier,52
DLY00927,NAS,24
DLY00928,Maintenance,216
DLY00929,Maintenance,71
DLY00930,NAS,54
DLY00931,Maintenance,149
DLY00932,Weather,85
DLY00933,Weather,78
DLY00934,Carrier,39
DLY00935,Carrier,28
DLY00936,Carrier,28
DLY00937,NAS,37
DLY00938,NAS,86
DLY00939,Maintenance,96
DLY00940,Maintenance,228
DLY00941,Carrier,35
DLY00942,Maintenance,53
DLY00943,Weather,53
DLY00944,Maintenance,190
DLY00945,NAS,70
DLY00946,Carrier,54
DLY00947,Weather,54
DLY00948,NAS,61
DLY00949,NAS,74
DLY00950,NAS,57
DLY00951,NAS,23
DLY00952,Carrier,26
DLY00953,Maintenance,66
DLY00954,Weather,96
DLY00955,Carrier,46
DLY00956,Weather,96
DLY00957,Maintenance,101
DLY00958,NAS,87
DLY00959,Weather,38
DLY00960,Maintenance,38
DLY00961,Weather,130
DLY00962,NAS,45
DLY00963,Weather,76
DLY00964,Carrier,44
DLY00965,Maintenance,153
DLY00966,Weather,89
DLY00967,Maintenance,60
DLY00968,Weather,125
DLY00969,NAS,75
DLY00970,Carrier,33
DLY00971,Weather,30
DLY00972,NAS,69
DLY00973,NAS,79
DLY00974,Carrier,32
DLY00975,Maintenance,142
DLY00976,NAS,55
DLY00977,Weather,38
DLY00978,NAS,15
DLY00979,NAS,18
DLY00980,Weather,140
DLY00981,NAS,27
DLY00982,Maintenance,80
DLY00983,NAS,58
DLY00984,Carrier,15
DLY00985,NAS,55
DLY00986,Maintenance,192
DLY00987,Weather,23
DLY00988,Weather,44
DLY00989,Carrier,19
DLY00990,Weather,140
DLY00991,Carrier,48
DLY00992,NAS,42
DLY00993,Maintenance,196
DLY00994,Maintenance,206
DLY00995,NAS,84
DLY00996,Weather,99
DLY00997,NAS,83
DLY00998,Maintenance,228
DLY00999,Carrier,15
DLY01000,Weather,143
DLY01001,Carrier,47
DLY01002,NAS,30
DLY01003,Weather,101
DLY01004,NAS,59
DLY01005,Weather,44
DLY01006,NAS,84
DLY01007,NAS,26
DLY01008,Weather,33
DLY01009,Maintenance,96
DLY01010,Maintenance,34
DLY01011,Carrier,50
DLY01012,Weather,134
DLY01013,NAS,54
DLY01014,Maintenance,41
DLY01015,Carrier,17
DLY01016,Maintenance,87
DLY01017,NAS,30
DLY01018,Carrier,50
DLY01019,Maintenance,207
DLY01020,Maintenance,38
DLY01021,Maintenance,87
DLY01022,Carrier,23
DLY01023,NAS,86
DLY01024,NAS,42
DLY01025,NAS,43
DLY01026,Carrier,39
DLY01027,NAS,52
DLY01028,Weather,128
DLY01029,NAS,28
DLY01030,Carrier,33
DLY01031,NAS,88
DLY01032,Carrier,50
DLY01033,Carrier,21
DLY01034,Weather,97
DLY01035,NAS,63
DLY01036,Maintenance,105
DLY01037,NAS,23
DLY01038,Weather,120
DLY01039,Maintenance,117
DLY01040,Maintenance,36
DLY01041,Weather,169
DLY01042,NAS,81
DLY01043,NAS,61
DLY01044,Maintenance,61
DLY01045,Carrier,19
DLY01046,Weather,88
DLY01047,Maintenance,71
DLY01048,Weather,130
DLY01049,Carrier,18
DLY01050,Maintenance,64
DLY01051,Maintenance,31
DLY01052,Maintenance,99
DLY01053,NAS,64
DLY01054,Carrier,58
DLY01055,Carrier,41
DLY01056,Maintenance,139
DLY01057,Carrier,26
DLY01058,Maintenance,179
DLY01059,Carrier,13
DLY01060,Weather,53
DLY01061,Weather,32
DLY01062,NAS,36
DLY01063,Maintenance,148
DLY01064,NAS,16
DLY01065,Maintenance,127
DLY01066,Carrier,15
DLY01067,Maintenance,125
DLY01068,Maintenance,198
DLY01069,Weather,122
DLY01070,Maintenance,67
DLY01071,Weather,120
DLY01072,Weather,135
DLY01073,Carrier,25
DLY01074,Weather,165
DLY01075,Carrier,35
DLY01076,Weather,170
DLY01077,Carrier,22
DLY01078,NAS,51
DLY01079,NAS,62
DLY01080,Weather,111
DLY01081,Maintenance,160
DLY01082,Carrier,11
DLY01083,Weather,85
DLY01084,Carrier,29
DLY01085,Carrier,49
DLY01086,Carrier,34
DLY01087,Weather,23
DLY01088,NAS,16
DLY01089,Carrier,27
DLY01090,NAS,68
DLY01091,Carrier,48
DLY01092,NAS,48
DLY01093,Carrier,45
DLY01094,Weather,122
DLY01095,Carrier,55
DLY01096,Weather,149
DLY01097,NAS,29
DLY01098,Maintenance,163
