reading_id,sensor_id,ts,value
AC1001-S01-SN01-R00337,AC1001-S01-SN01,2024-07-15T00:00:00,666.5947
AC1001-S01-SN01-R00341,AC1001-S01-SN01,2024-07-15T04:00:00,662.85741
AC1001-S01-SN01-R00345,AC1001-S01-SN01,2024-07-15T08:00:00,660.59061
AC1001-S01-SN01-R00349,AC1001-S01-SN01,2024-07-15T12:00:00,664.0029
AC1001-S01-SN01-R00353,AC1001-S01-SN01,2024-07-15T16:00:00,666.50748
AC1001-S01-SN01-R00357,AC1001-S01-SN01,2024-07-15T20:00:00,659.8003
AC1001-S01-SN01-R00361,AC1001-S01-SN01,2024-07-16T00:00:00,666.37557
AC1001-S01-SN01-R00365,AC1001-S01-SN01,2024-07-16T04:00:00,660.32781
AC1001-S01-SN01-R00369,AC1001-S01-SN01,2024-07-16T08:00:00,663.02454
AC1001-S01-SN01-R00373,AC1001-S01-SN01,2024-07-16T12:00:00,664.97814
AC1001-S01-SN01-R00377,AC1001-S01-SN01,2024-07-16T16:00:00,668.7078
AC1001-S01-SN01-R00381,AC1001-S01-SN01,2024-07-16T20:00:00,657.53918
AC1001-S01-SN01-R00385,AC1001-S01-SN01,2024-07-17T00:00:00,664.74
AC1001-S01-SN01-R00389,AC1001-S01-SN01,2024-07-17T04:00:00,655.17009
AC1001-S01-SN01-R00393,AC1001-S01-SN01,2024-07-17T08:00:00,665.76646
AC1001-S01-SN01-R00397,AC1001-S01-SN01,2024-07-17T12:00:00,665.21903
AC1001-S01-SN01-R00401,AC1001-S01-SN01,2024-07-17T16:00:00,666.28984
AC1001-S01-SN01-R00405,AC1001-S01-SN01,2024-07-17T20:00:00,663.06077
AC1001-S01-SN01-R00409,AC1001-S01-SN01,2024-07-18T00:00:00,658.3387
AC1001-S01-SN01-R00413,AC1001-S01-SN01,2024-07-18T04:00:00,662.58343
AC1001-S01-SN01-R00417,AC1001-S01-SN01,2024-07-18T08:00:00,663.39272
AC1001-S01-SN01-R00421,AC1001-S01-SN01,2024-07-18T12:00:00,661.60848
AC1001-S01-SN01-R00425,AC1001-S01-SN01,2024-07-18T16:00:00,666.55561
AC1001-S01-SN01-R00429,AC1001-S01-SN01,2024-07-18T20:00:00,660.15534
AC1001-S01-SN01-R00433,AC1001-S01-SN01,2024-07-19T00:00:00,667.10047
AC1001-S01-SN01-R00437,AC1001-S01-SN01,2024-07-19T04:00:00,661.61561
AC1001-S01-SN01-R00441,AC1001-S01-SN01,2024-07-19T08:00:00,665.22651
AC1001-S01-SN01-R00445,AC1001-S01-SN01,2024-07-19T12:00:00,667.74924
AC1001-S01-SN01-R00449,AC1001-S01-SN01,2024-07-19T16:00:00,663.60916
AC1001-S01-SN01-R00453,AC1001-S01-SN01,2024-07-19T20:00:00,664.36516
AC1001-S01-SN01-R00457,AC1001-S01-SN01,2024-07-20T00:00:00,665.34225
AC1001-S01-SN01-R00461,AC1001-S01-SN01,2024-07-20T04:00:00,658.6672
AC1001-S01-SN01-R00465,AC1001-S01-SN01,2024-07-20T08:00:00,663.25869
AC1001-S01-SN01-R00469,AC1001-S01-SN01,2024-07-20T12:00:00,665.55602
AC1001-S01-SN01-R00473,AC1001-S01-SN01,2024-07-20T16:00:00,666.56032
AC1001-S01-SN01-R00477,AC1001-S01-SN01,2024-07-20T20:00:00,664.46959
AC1001-S01-SN01-R00481,AC1001-S01-SN01,2024-07-21T00:00:00,664.8219
AC1001-S01-SN01-R00485,AC1001-S01-SN01,2024-07-21T04:00:00,661.82758
AC1001-S01-SN01-R00489,AC1001-S01-SN01,2024-07-21T08:00:00,668.40845
AC1001-S01-SN01-R00493,AC1001-S01-SN01,2024-07-21T12:00:00,663.58377
AC1001-S01-SN01-R00497,AC1001-S01-SN01,2024-07-21T16:00:00,657.75046
AC1001-S01-SN01-R00501,AC1001-S01-SN01,2024-07-21T20:00:00,662.2543
AC1001-S01-SN01-R00505,AC1001-S01-SN01,2024-07-22T00:00:00,673.29812
AC1001-S01-SN01-R00509,AC1001-S01-SN01,2024-07-22T04:00:00,659.41749
AC1001-S01-SN01-R00513,AC1001-S01-SN01,2024-07-22T08:00:00,667.70284
AC1001-S01-SN01-R00517,AC1001-S01-SN01,2024-07-22T12:00:00,668.13156
AC1001-S01-SN01-R00521,AC1001-S01-SN01,2024-07-22T16:00:00,669.71863
AC1001-S01-SN01-R00525,AC1001-S01-SN01,2024-07-22T20:00:00,670.19022
AC1001-S01-SN01-R00529,AC1001-S01-SN01,2024-07-23T00:00:00,663.88555
AC1001-S01-SN01-R00533,AC1001-S01-SN01,2024-07-23T04:00:00,659.72577
AC1001-S01-SN01-R00537,AC1001-S01-SN01,2024-07-23T08:00:00,656.88019
AC1001-S01-SN01-R00541,AC1001-S01-SN01,2024-07-23T12:00:00,666.18111
AC1001-S01-SN01-R00545,AC1001-S01-SN01,2024-07-23T16:00:00,666.08032
AC1001-S01-SN01-R00549,AC1001-S01-SN01,2024-07-23T20:00:00,666.77027
AC1001-S01-SN01-R00553,AC1001-S01-SN01,2024-07-24T00:00:00,665.17199
AC1001-S01-SN01-R00557,AC1001-S01-SN01,2024-07-24T04:00:00,661.17535
AC1001-S01-SN01-R00561,AC1001-S01-SN01,2024-07-24T08:00:00,665.76418
AC1001-S01-SN01-R00565,AC1001-S01-SN01,2024-07-24T12:00:00,665.08059
AC1001-S01-SN01-R00569,AC1001-S01-SN01,2024-07-24T16:00:00,660.6251
AC1001-S01-SN01-R00573,AC1001-S01-SN01,2024-07-24T20:00:00,666.41217
AC1001-S01-SN01-R00577,AC1001-S01-SN01,2024-07-25T00:00:00,664.91809
AC1001-S01-SN01-R00581,AC1001-S01-SN01,2024-07-25T04:00:00,664.82785
AC1001-S01-SN01-R00585,AC1001-S01-SN01,2024-07-25T08:00:00,661.79211
AC1001-S01-SN01-R00589,AC1001-S01-SN01,2024-07-25T12:00:00,661.68613
AC1001-S01-SN01-R00593,AC1001-S01-SN01,2024-07-25T16:00:00,661.53488
AC1001-S01-SN01-R00597,AC1001-S01-SN01,2024-07-25T20:00:00,666.91861
AC1001-S01-SN01-R00601,AC1001-S01-SN01,2024-07-26T00:00:00,670.58755
AC1001-S01-SN01-R00605,AC1001-S01-SN01,2024-07-26T04:00:00,668.8514
AC1001-S01-SN01-R00609,AC1001-S01-SN01,2024-07-26T08:00:00,662.61526
AC1001-S01-SN01-R00613,AC1001-S01-SN01,2024-07-26T12:00:00,663.46642
AC1001-S01-SN01-R00617,AC1001-S01-SN01,2024-07-26T16:00:00,664.19478
AC1001-S01-SN01-R00621,AC1001-S01-SN01,2024-07-26T20:00:00,667.33908
AC1001-S01-SN01-R00625,AC1001-S01-SN01,2024-07-27T00:00:00,665.01133
AC1001-S01-SN01-R00629,AC1001-S01-SN01,2024-07-27T04:00:00,672.14452
AC1001-S01-SN01-R00633,AC1001-S01-SN01,2024-07-27T08:00:00,665.47373
AC1001-S01-SN01-R00637,AC1001-S01-SN01,2024-07-27T12:00:00,668.64306
AC1001-S01-SN01-R00641,AC1001-S01-SN01,2024-07-27T16:00:00,673.85318
AC1001-S01-SN01-R00645,AC1001-S01-SN01,2024-07-27T20:00:00,668.87636
AC1001-S01-SN01-R00649,AC1001-S01-SN01,2024-07-28T00:00:00,673.24453
AC1001-S01-SN01-R00653,AC1001-S01-SN01,2024-07-28T04:00:00,668.88673
AC1001-S01-SN01-R00657,AC1001-S01-SN01,2024-07-28T08:00:00,671.12931
AC1001-S01-SN01-R00661,AC1001-S01-SN01,2024-07-28T12:00:00,663.7812
AC1001-S01-SN01-R00665,AC1001-S01-SN01,2024-07-28T16:00:00,661.33905
AC1001-S01-SN01-R00669,AC1001-S01-SN01,2024-07-28T20:00:00,669.79499
AC1001-S01-SN01-R00673,AC1001-S01-SN01,2024-07-29T00:00:00,670.02755
AC1001-S01-SN01-R00677,AC1001-S01-SN01,2024-07-29T04:00:00,668.51336
AC1001-S01-SN01-R00681,AC1001-S01-SN01,2024-07-29T08:00:00,671.59162
AC1001-S01-SN01-R00685,AC1001-S01-SN01,2024-07-29T12:00:00,670.03256
AC1001-S01-SN01-R00689,AC1001-S01-SN01,2024-07-29T16:00:00,668.41821
AC1001-S01-SN01-R00693,AC1001-S01-SN01,2024-07-29T20:00:00,664.47965
AC1001-S01-SN01-R00697,AC1001-S01-SN01,2024-07-30T00:00:00,664.22425
AC1001-S01-SN01-R00701,AC1001-S01-SN01,2024-07-30T04:00:00,663.87363
AC1001-S01-SN01-R00705,AC1001-S01-SN01,2024-07-30T08:00:00,705.83087
AC1001-S01-SN01-R00709,AC1001-S01-SN01,2024-07-30T12:00:00,667.54207
AC1001-S01-SN01-R00713,AC1001-S01-SN01,2024-07-30T16:00:00,666.9066
AC1001-S01-SN01-R00717,AC1001-S01-SN01,2024-07-30T20:00:00,666.46986
AC1001-S01-SN01-R00721,AC1001-S01-SN01,2024-07-31T00:00:00,659.76979
AC1001-S01-SN01-R00725,AC1001-S01-SN01,2024-07-31T04:00:00,668.79561
AC1001-S01-SN01-R00729,AC1001-S01-SN01,2024-07-31T08:00:00,669.42808
AC1001-S01-SN01-R00733,AC1001-S01-SN01,2024-07-31T12:00:00,668.88842
AC1001-S01-SN01-R00737,AC1001-S01-SN01,2024-07-31T16:00:00,662.29954
AC1001-S01-SN01-R00741,AC1001-S01-SN01,2024-07-31T20:00:00,664.4511
AC1001-S01-SN01-R00745,AC1001-S01-SN01,2024-08-01T00:00:00,674.36904
AC1001-S01-SN01-R00749,AC1001-S01-SN01,2024-08-01T04:00:00,668.17171
AC1001-S01-SN01-R00753,AC1001-S01-SN01,2024-08-01T08:00:00,674.4339
AC1001-S01-SN01-R00757,AC1001-S01-SN01,2024-08-01T12:00:00,670.47869
AC1001-S01-SN01-R00761,AC1001-S01-SN01,2024-08-01T16:00:00,670.88422
AC1001-S01-SN01-R00765,AC1001-S01-SN01,2024-08-01T20:00:00,668.64103
AC1001-S01-SN01-R00769,AC1001-S01-SN01,2024-08-02T00:00:00,674.45402
AC1001-S01-SN01-R00773,AC1001-S01-SN01,2024-08-02T04:00:00,668.4989
AC1001-S01-SN01-R00777,AC1001-S01-SN01,2024-08-02T08:00:00,668.72225
AC1001-S01-SN01-R00781,AC1001-S01-SN01,2024-08-02T12:00:00,674.85654
AC1001-S01-SN01-R00785,AC1001-S01-SN01,2024-08-02T16:00:00,668.774
AC1001-S01-SN01-R00789,AC1001-S01-SN01,2024-08-02T20:00:00,666.06209
AC1001-S01-SN01-R00793,AC1001-S01-SN01,2024-08-03T00:00:00,662.47414
AC1001-S01-SN01-R00797,AC1001-S01-SN01,2024-08-03T04:00:00,672.37222
AC1001-S01-SN01-R00801,AC1001-S01-SN01,2024-08-03T08:00:00,670.04209
AC1001-S01-SN01-R00805,AC1001-S01-SN01,2024-08-03T12:00:00,668.42735
AC1001-S01-SN01-R00809,AC1001-S01-SN01,2024-08-03T16:00:00,668.23704
AC1001-S01-SN01-R00813,AC1001-S01-SN01,2024-08-03T20:00:00,666.80028
AC1001-S01-SN01-R00817,AC1001-S01-SN01,2024-08-04T00:00:00,670.00891
AC1001-S01-SN01-R00821,AC1001-S01-SN01,2024-08-04T04:00:00,665.03959
AC1001-S01-SN01-R00825,AC1001-S01-SN01,2024-08-04T08:00:00,669.26926
AC1001-S01-SN01-R00829,AC1001-S01-SN01,2024-08-04T12:00:00,670.601
AC1001-S01-SN01-R00833,AC1001-S01-SN01,2024-08-04T16:00:00,666.63429
AC1001-S01-SN01-R00837,AC1001-S01-SN01,2024-08-04T20:00:00,675.75445
AC1001-S01-SN01-R00841,AC1001-S01-SN01,2024-08-05T00:00:00,675.51569
AC1001-S01-SN01-R00845,AC1001-S01-SN01,2024-08-05T04:00:00,680.55794
AC1001-S01-SN01-R00849,AC1001-S01-SN01,2024-08-05T08:00:00,668.21972
AC1001-S01-SN01-R00853,AC1001-S01-SN01,2024-08-05T12:00:00,670.51533
AC1001-S01-SN01-R00857,AC1001-S01-SN01,2024-08-05T16:00:00,662.81511
AC1001-S01-SN01-R00861,AC1001-S01-SN01,2024-08-05T20:00:00,669.44423
AC1001-S01-SN01-R00865,AC1001-S01-SN01,2024-08-06T00:00:00,665.00524
AC1001-S01-SN01-R00869,AC1001-S01-SN01,2024-08-06T04:00:00,670.73306
AC1001-S01-SN01-R00873,AC1001-S01-SN01,2024-08-06T08:00:00,663.1894
AC1001-S01-SN01-R00877,AC1001-S01-SN01,2024-08-06T12:00:00,669.50342
AC1001-S01-SN01-R00881,AC1001-S01-SN01,2024-08-06T16:00:00,666.0307
AC1001-S01-SN01-R00885,AC1001-S01-SN01,2024-08-06T20:00:00,674.33107
AC1001-S01-SN01-R00889,AC1001-S01-SN01,2024-08-07T00:00:00,667.1123
AC1001-S01-SN01-R00893,AC1001-S01-SN01,2024-08-07T04:00:00,668.991
AC1001-S01-SN01-R00897,AC1001-S01-SN01,2024-08-07T08:00:00,671.81235
AC1001-S01-SN01-R00901,AC1001-S01-SN01,2024-08-07T12:00:00,669.67442
AC1001-S01-SN01-R00905,AC1001-S01-SN01,2024-08-07T16:00:00,669.45564
AC1001-S01-SN01-R00909,AC1001-S01-SN01,2024-08-07T20:00:00,667.66768
AC1001-S01-SN01-R00913,AC1001-S01-SN01,2024-08-08T00:00:00,673.80893
AC1001-S01-SN01-R00917,AC1001-S01-SN01,2024-08-08T04:00:00,675.17919
AC1001-S01-SN01-R00921,AC1001-S01-SN01,2024-08-08T08:00:00,670.87866
AC1001-S01-SN01-R00925,AC1001-S01-SN01,2024-08-08T12:00:00,669.92153
AC1001-S01-SN01-R00929,AC1001-S01-SN01,2024-08-08T16:00:00,670.59079
AC1001-S01-SN01-R00933,AC1001-S01-SN01,2024-08-08T20:00:00,671.70758
AC1001-S01-SN01-R00937,AC1001-S01-SN01,2024-08-09T00:00:00,673.9691
AC1001-S01-SN01-R00941,AC1001-S01-SN01,2024-08-09T04:00:00,672.44995
AC1001-S01-SN01-R00945,AC1001-S01-SN01,2024-08-09T08:00:00,671.96189
AC1001-S01-SN01-R00949,AC1001-S01-SN01,2024-08-09T12:00:00,664.80851
AC1001-S01-SN01-R00953,AC1001-S01-SN01,2024-08-09T16:00:00,668.40245
AC1001-S01-SN01-R00957,AC1001-S01-SN01,2024-08-09T20:00:00,670.94227
AC1001-S01-SN01-R00961,AC1001-S01-SN01,2024-08-10T00:00:00,667.49496
AC1001-S01-SN01-R00965,AC1001-S01-SN01,2024-08-10T04:00:00,670.16194
AC1001-S01-SN01-R00969,AC1001-S01-SN01,2024-08-10T08:00:00,670.12174
AC1001-S01-SN01-R00973,AC1001-S01-SN01,2024-08-10T12:00:00,667.66672
AC1001-S01-SN01-R00977,AC1001-S01-SN01,2024-08-10T16:00:00,666.26094
AC1001-S01-SN01-R00981,AC1001-S01-SN01,2024-08-10T20:00:00,672.07725
AC1001-S01-SN01-R00985,AC1001-S01-SN01,2024-08-11T00:00:00,666.41331
AC1001-S01-SN01-R00989,AC1001-S01-SN01,2024-08-11T04:00:00,674.42937
AC1001-S01-SN01-R00993,AC1001-S01-SN01,2024-08-11T08:00:00,671.05254
AC1001-S01-SN01-R00997,AC1001-S01-SN01,2024-08-11T12:00:00,671.94846
AC1001-S01-SN01-R01001,AC1001-S01-SN01,2024-08-11T16:00:00,670.09431
AC1001-S01-SN01-R01005,AC1001-S01-SN01,2024-08-11T20:00:00,673.94442
AC1001-S01-SN01-R01009,AC1001-S01-SN01,2024-08-12T00:00:00,667.33148
AC1001-S01-SN01-R01013,AC1001-S01-SN01,2024-08-12T04:00:00,668.04985
AC1001-S01-SN01-R01017,AC1001-S01-SN01,2024-08-12T08:00:00,670.58277
AC1001-S01-SN01-R01021,AC1001-S01-SN01,2024-08-12T12:00:00,673.25027
AC1001-S01-SN01-R01025,AC1001-S01-SN01,2024-08-12T16:00:00,664.23931
AC1001-S01-SN01-R01029,AC1001-S01-SN01,2024-08-12T20:00:00,676.08095
AC1001-S01-SN01-R01033,AC1001-S01-SN01,2024-08-13T00:00:00,670.13069
AC1001-S01-SN01-R01037,AC1001-S01-SN01,2024-08-13T04:00:00,674.85246
AC1001-S01-SN01-R01041,AC1001-S01-SN01,2024-08-13T08:00:00,674.53175
AC1001-S01-SN01-R01045,AC1001-S01-SN01,2024-08-13T12:00:00,670.25913
AC1001-S01-SN01-R01049,AC1001-S01-SN01,2024-08-13T16:00:00,667.84898
AC1001-S01-SN01-R01053,AC1001-S01-SN01,2024-08-13T20:00:00,667.4287
AC1001-S01-SN01-R01057,AC1001-S01-SN01,2024-08-14T00:00:00,672.7177
AC1001-S01-SN01-R01061,AC1001-S01-SN01,2024-08-14T04:00:00,670.76002
AC1001-S01-SN01-R01065,AC1001-S01-SN01,2024-08-14T08:00:00,668.65998
AC1001-S01-SN01-R01069,AC1001-S01-SN01,2024-08-14T12:00:00,671.77692
AC1001-S01-SN01-R01073,AC1001-S01-SN01,2024-08-14T16:00:00,669.32513
AC1001-S01-SN01-R01077,AC1001-S01-SN01,2024-08-14T20:00:00,670.52134
AC1001-S01-SN01-R01081,AC1001-S01-SN01,2024-08-15T00:00:00,674.14265
AC1001-S01-SN01-R01085,AC1001-S01-SN01,2024-08-15T04:00:00,667.78936
AC1001-S01-SN01-R01089,AC1001-S01-SN01,2024-08-15T08:00:00,670.65061
AC1001-S01-SN01-R01093,AC1001-S01-SN01,2024-08-15T12:00:00,670.49491
AC1001-S01-SN01-R01097,AC1001-S01-SN01,2024-08-15T16:00:00,676.25311
AC1001-S01-SN01-R01101,AC1001-S01-SN01,2024-08-15T20:00:00,674.99368
AC1001-S01-SN01-R01105,AC1001-S01-SN01,2024-08-16T00:00:00,668.20829
AC1001-S01-SN01-R01109,AC1001-S01-SN01,2024-08-16T04:00:00,678.21372
AC1001-S01-SN01-R01113,AC1001-S01-SN01,2024-08-16T08:00:00,673.41911
AC1001-S01-SN01-R01117,AC1001-S01-SN01,2024-08-16T12:00:00,674.3483
AC1001-S01-SN01-R01121,AC1001-S01-SN01,2024-08-16T16:00:00,670.54602
AC1001-S01-SN01-R01125,AC1001-S01-SN01,2024-08-16T20:00:00,679.42424
AC1001-S01-SN01-R01129,AC1001-S01-SN01,2024-08-17T00:00:00,670.149
AC1001-S01-SN01-R01133,AC1001-S01-SN01,2024-08-17T04:00:00,672.75562
AC1001-S01-SN01-R01137,AC1001-S01-SN01,2024-08-17T08:00:00,673.0763
AC1001-S01-SN01-R01141,AC1001-S01-SN01,2024-08-17T12:00:00,666.43585
AC1001-S01-SN01-R01145,AC1001-S01-SN01,2024-08-17T16:00:00,675.15125
AC1001-S01-SN01-R01149,AC1001-S01-SN01,2024-08-17T20:00:00,674.19382
AC1001-S01-SN01-R01153,AC1001-S01-SN01,2024-08-18T00:00:00,676.04616
AC1001-S01-SN01-R01157,AC1001-S01-SN01,2024-08-18T04:00:00,665.07993
AC1001-S01-SN01-R01161,AC1001-S01-SN01,2024-08-18T08:00:00,672.82103
AC1001-S01-SN01-R01165,AC1001-S01-SN01,2024-08-18T12:00:00,682.36733
AC1001-S01-SN01-R01169,AC1001-S01-SN01,2024-08-18T16:00:00,669.79831
AC1001-S01-SN01-R01173,AC1001-S01-SN01,2024-08-18T20:00:00,673.57772
AC1001-S01-SN01-R01177,AC1001-S01-SN01,2024-08-19T00:00:00,675.21061
AC1001-S01-SN01-R01181,AC1001-S01-SN01,2024-08-19T04:00:00,671.18232
AC1001-S01-SN01-R01185,AC1001-S01-SN01,2024-08-19T08:00:00,672.93055
AC1001-S01-SN01-R01189,AC1001-S01-SN01,2024-08-19T12:00:00,679.45265
AC1001-S01-SN01-R01193,AC1001-S01-SN01,2024-08-19T16:00:00,680.91388
AC1001-S01-SN01-R01197,AC1001-S01-SN01,2024-08-19T20:00:00,679.397
AC1001-S01-SN01-R01201,AC1001-S01-SN01,2024-08-20T00:00:00,675.72475
AC1001-S01-SN01-R01205,AC1001-S01-SN01,2024-08-20T04:00:00,671.81496
AC1001-S01-SN01-R01209,AC1001-S01-SN01,2024-08-20T08:00:00,677.46598
